example_id,customer_message,original_intent,kiro_intent,original_escalation,kiro_escalation,review_reason,human_intent,human_escalation,reviewed
g0145,@SpotifyCares I want to stop my monthly payments to you because I recently bought a car and I need to save my money for payments for that. Also I dislike how have I to air my problems this way.,billing_charge,billing_charge,ESCALATE,AUTO_HANDLE,escalation_disagrees_with_auto,,,
g0165,"@SpotifyCares When I try to login to my account on a Desktop PC, it tells me I don't have an account linked to my Facebook profile. Then when I try to reset my password, it tells me to sign in with Facebook?",account_login,account_login,ESCALATE,AUTO_HANDLE,escalation_disagrees_with_auto,,,
g0188,@SpotifyCares I updated my subscription and credit card got charged but my premium subscription still paused. can you help?,billing_charge,billing_charge,ESCALATE,AUTO_HANDLE,escalation_disagrees_with_auto,,,
g0190,@SpotifyCares Not really I actually think over all the app is shit. There’s not enough options. You can’t skip the songs you want without paying 9.99 a month which is disgusting.... frankly it’s not worth the space on my phone.... waste of time and money.,billing_charge,billing_charge,ESCALATE,AUTO_HANDLE,escalation_disagrees_with_auto,,,
g0010,"My first full month of @115888 premium and all my downloaded music has gone.

You're not selling this well so far.",premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,multiple_competing_intents,,,
g0011,.@SpotifyCares Please could you help? None of my music will play and it’s set to “offline” I listen to my music on the go all the time and have never had this problem. It’s just stopped becoming available. Has my music just...un-downloaded itself? 😞,offline_download,offline_download,AUTO_HANDLE,AUTO_HANDLE,multiple_competing_intents,,,
g0036,"@SpotifyCares pls help me, I just purchased premium, but the Behind Lyrics doesn't appear when I play one of the songs. I thought its because the device I have, Android. Bcs I logged in into iPhone, the Behind Lyrics appear. Thanks.",premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,multiple_competing_intents,,,
g0054,@SpotifyCares We just switched over from apple music to spotify. We have a Premium Family account. I have tried to block explicit content (obviously we have young children - being a FAMILY account...) but can't seem to find a way to do it. Can you please help??,premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,multiple_competing_intents,,,
g0056,@115888 stop playing your suggested music in the middle of my playlists. I want to listen to my music not whatever you come up with. For everyone one song I have in my playlist I hear three reccomnended ones that I can’t skip bc I can’t afford premium. Sick of it,premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,multiple_competing_intents,,,
g0066,"ok @115888 20 msgs, 10 customer serv reps, 6 weeks later, you still havent taken care of my hacked account nor successfully transfer my hacked account to my new account like you promised, includ. my Premium membership. You’d think you’d want to take my money at the very least",billing_charge,billing_charge,ESCALATE,ESCALATE,multiple_competing_intents,,,
g0091,@SpotifyCares I can't find that option. I've checked and my Sonos app is up to date. I've removed and then re authorised Spotify as a music service. All no joy.,content_unavailable,content_unavailable,AUTO_HANDLE,AUTO_HANDLE,multiple_competing_intents,,,
g0093,@SpotifyCares When using connect with TV it always gets out of sync. It’s actually playing song 2 on playlist but tv and computer both show playing song 3 https://t.co/awwoKWGgrS,playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,multiple_competing_intents,,,
g0103,@115888 my music is taking 3+ minutes to download one song. I have 900. Help!,offline_download,offline_download,AUTO_HANDLE,AUTO_HANDLE,multiple_competing_intents,,,
g0130,@SpotifyCares I got locked out of my account because of a paypal issue. Help! I need my music!,account_login,account_login,AUTO_HANDLE,AUTO_HANDLE,multiple_competing_intents,,,
g0144,Spotify removed like half of my music from my downloads and I’m so mad i never wanna listen to music ever again wow. @115888 fuck off.,content_unavailable,content_unavailable,AUTO_HANDLE,AUTO_HANDLE,multiple_competing_intents,,,
g0167,@SpotifyCares hi I bought family premium. I have Spotify on my phone but my son's play store says it's not available in his country yet we live in the same house let alone country,premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,multiple_competing_intents,,,
g0168,"@SpotifyCares Hey guys! I have a query relating to a release date bug on the latest macOS client. Everything updated, fresh install. Has been persisting for about a month. Shows the correct year on artist page but then one year off on album page. See pics for details. TIA :) https://t.co/QYPvIJxCqT",app_crash_bug,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,multiple_competing_intents,,,
g0181,@SpotifyCares Please fix the issue where offline music is randomly deleted. It's a big problem whilst travelling.,offline_download,offline_download,AUTO_HANDLE,AUTO_HANDLE,multiple_competing_intents,,,
g0195,"@SpotifyCares I can't select my #Sonos speaker (Office) in the ""Devices Available"" menu and can't play #Spotify to it anymore since Sonos removed Spotify from their music services menu. What do I do?
[MacOS 10.11.6, Spotify 1.0.68.407.g6864aaaf Sonos 8.2.1] https://t.co/ed73b93LfE",content_unavailable,content_unavailable,AUTO_HANDLE,AUTO_HANDLE,multiple_competing_intents,,,
g0016,@SpotifyCares I was listening to a particular mix already established and then all of a sudden it disappeared. Super frustrating.,playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,short_or_low_context,,,
g0022,So @115888 is a little broken at the moment but you can get our record on @115948 or @118721 too! https://t.co/eoWnHPpj9n,app_crash_bug,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,short_or_low_context,,,
g0047,"@SpotifyCares Windows 10, Google Chrome.",device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,short_or_low_context,,,
g0075,@SpotifyCares it is necessary to clear the cache,offline_download,offline_download,AUTO_HANDLE,AUTO_HANDLE,short_or_low_context,,,
g0096,"@SpotifyCares Nope, doesn’t work 😔 I’m able to log on with my Facebook, but after that it just gives the same error.",app_crash_bug,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,short_or_low_context,,,
g0102,"@SpotifyCares Windows 10
Spotify 1.0.68.407",device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,short_or_low_context,,,
g0123,@SpotifyCares spotify 8.4.28 ios 11.1,device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,short_or_low_context,,,
g0163,"@SpotifyCares Here, saved you some work:

/^[(]{0,1}[0-9]{3}[)]{0,1}[-\s\.]{0,1}[0-9]{3}[-\s\.]{0,1}[0-9]{4}$/",playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,short_or_low_context,,,
g0174,@SpotifyCares Sonos Play:1,device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,short_or_low_context,,,
g0006,"@115888 Love you guys, but did you really have to undownload all my music randomly? And then immediately hit me with an ad asking me to renew for a year haha? Bad timing on your part.",playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0007,"@SpotifyCares Thanks for response! The app says that music is playing, but no sound comes out. I have to restart to make it work again.",playback_error,playback_error,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0009,"@spotifycares why do this always appear ""Oops, seems the credit on your prepaid card is insufficient. Please try again or use another payment method."" Even if I have PhP 130 balance on my SIM, I'm using mobile payment. Please respond immediately, thanks!",billing_charge,billing_charge,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0012,@SpotifyCares so I have a premium student account and Hulu is saying it's having trouble authorizing my Spotify account?,premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0015,"@126761 But unfortunately it doesn't work for me. It says ""Sorry, couldn't find that"". Maybe it's not available worldwide. please could you fix it? I wanna listen to this interview",content_unavailable,content_unavailable,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0017,@SpotifyCares So i was updating my iPhone when you responded and I guess that’s what it was. It was 1 version behind. I am so sorry for wasting your time!!,device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0018,"@117153 hi i have sign up under premium but cant download anything, it require me to re-do it again pls help to check :)",premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0019,"@117153 Hi there. I'm being charged for Premium Spotify, but my account is not showing anything so i can't cancel. I tried my other emails and they're not showing any Spotify associated with them. My account is __email__",billing_charge,billing_charge,ESCALATE,ESCALATE,other_uncertainty,,,
g0020,@SpotifyCares I updated my payment method and it took the $4.99 out of my bank account but my premium still isn't working..,billing_charge,billing_charge,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0023,"@SpotifyCares Only 70% of my library was deleted this time so we're making progress, but it's still an issue. https://t.co/1ROB3b3f5E",playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0026,"Hi, @115888 gentlemen it's been 2 weeks since the premiere of the #reputation and know, when will be put this magnificent art of music in its platform had understood that they were in denial with @118062 me as a premium user I have the right to know #Swifties",premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0027,@115888 @SpotifyCares Can we get an update on this Spotiamb 0.2.1 thing that keeps taking over streams? It is really irritating to have your music pausing several times an hour. It’s also a little concerning that you guys don’t seem to have any input on this.,playback_error,playback_error,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0029,@117153 I have just paid for the premium but still gives me the free subscription,billing_charge,billing_charge,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0030,"Over 10 ads in a row, really? @115888 that’s not the way to convince me to go premium.",premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0031,@SpotifyCares There's no problem now. Once I've crashed out of windows and rebooted it works OK. But I have had this happen 3 or 4 times always when starting up the desktop app.,device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0033,@SpotifyCares just sign up for the premium after Logging in seem is not can’t play any song like .,premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0034,"@115888 I can't get spotify to play any songs. I was playing one, tried to skip it but then it just wouldn't play any songs at all.",playback_error,playback_error,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0038,"@115888 @SpotifyCares MAJOR Question: There is a lot of talk online about the Snowy app for Apple Watches. Has there been any development on that app? I love Spotify, but this lack of offline music is turning away many of your regular users. Any updates?",offline_download,offline_download,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0039,@SpotifyCares i recently got charged 3 times when i only agreed for 1 payment,billing_charge,billing_charge,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0042,Hello @SpotifyCares! My account has been hacked. Got an email telling me my email has changed and I can't log in anymore. I already messaged you earlier. Please look into it and reply asap! I want my spotify!!! Tnx,account_login,account_login,ESCALATE,ESCALATE,other_uncertainty,,,
g0043,@SpotifyCares I was charged for a subscription I wasn’t eligible for. It was the student membership.,billing_charge,billing_charge,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0044,"@SpotifyCares Hi there! I’ve been on the family plan but I have been charged an extra 10$ a month just for me. I cancelled my last plan, but it’s still charging. How can I fix this?",billing_charge,billing_charge,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0046,@SpotifyCares Also the same thing that i get when i try to upload music,playback_error,playback_error,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0049,@SpotifyCares is there a bug because everytime I play a video while I’m listening to Spotify it goes off like normal but when I close the video and Try to turn the music back on it says it’s playing but there won’t be any sound,app_crash_bug,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0050,"@SpotifyCares I need help resetting my password. I think someone hacked my account and changed it, but I was still able to log in through Facebook",account_login,account_login,ESCALATE,ESCALATE,other_uncertainty,,,
g0057,"@SpotifyCares Why show that my playlist has followers if I can't see who the followers are? Just remove the follower count, it doesn't matter and it makes it pointless. Obviously there's some common musical interests but there's no connect so doesn't matter.",playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0058,"Hey @SpotifyCares, I got this message. Uninstalled, re-downloaded and re-installed and it happened it again. https://t.co/RBRdDUf2qf",offline_download,offline_download,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0063,@SpotifyCares hello. My app won't connect to Sonos. Tried reauthorizing the account and reinstalling the app.,device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0065,@SpotifyCares Hi. Signed up for family account. My girlfriend has signed up too. But only has option for 7 days free premium. Have we registered wrong?,premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0067,"@SpotifyCares Logged into my account after a couple years, my password, email, area code, country, have all been changed and are linked to my facebook account. I looked at the support page but all lead back to email or password which I have access to neither now. Help please, ty.",account_login,account_login,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0068,"Bye @115888 , you can’t even process my payment 😫 @115948 sorry it took me long to come to my senses",billing_charge,billing_charge,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0069,"@SpotifyCares Like I say, my speaker is visible, but when I click on it, the app just goes back to the song screen and doesn't switch to the speaker... https://t.co/7k5oCPmc45",device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0071,@SpotifyCares Will Spotify ever get two factor authentication. I had my account hacked today and I'd rather have something stronger than just changing the password.,account_login,account_login,ESCALATE,ESCALATE,other_uncertainty,,,
g0072,"@SpotifyCares i’m using windows 7 on desktop, and everytime i try to open the program is gives me this, which only started happening 2 days ago. i do reinstall it like it says but i have to reinstall everytime i want to turn on my computer https://t.co/A4DSWkXDOR",device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0073,@SpotifyCares @118266 I'm using older version of spotify 8.4.226.770 on Android 4.4.2 and latest version of spotify 8.4.28.875 on Android 7.1.2 please help!,device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0076,"@115888 @SpotifyCares @112775 - Hi, any chance of Agony and Irony being added onto the library? Thank you :)",playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0077,"Any Spotify artists know how to find out what @115888 playlists their music's being featured on? 🙏🏾 25% of my plays are comin from Spotify playlist but I can tell which ones! 😨
#StayWavy 🌊🏄🏽",playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0078,"Got a new phone and Spotify won’t let me log in using my email or with Facebook! Please help, @SpotifyCares @115888 @117168",account_login,account_login,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0079,@115888 Not true. I downloaded Spotify and theres no free songs to download. Just to let u know,offline_download,offline_download,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0080,"@SpotifyCares tried to buy a premium gift card but after I entered the e-delivery details and hit continue, the page just refreshed w/o taking me to a payment page. Help?",billing_charge,billing_charge,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0082,"@115888 Anytime I log into my account on a tablet it says I have a free account, but on my phone/computer it's premium. How do I fix this?!",premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0083,"@115888 your app just offered me a year of premium for $99. Clicking the link brings me this page that repeats the offer, but gives no way to buy. Help? https://t.co/Xh0kg167jJ",premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0088,"@SpotifyCares I can't seem to delete a playlist, and it's not available either? But it won't go from my playlists bar...",content_unavailable,content_unavailable,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0089,@115888 any progress on getting @19106 velvet album back? I sure am missing listening to that album. There are also one or two songs from various other artists that are unavailable as well. What’s the deal?,content_unavailable,content_unavailable,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0092,"@SpotifyCares Galaxy note 5-android, hp spectre x360-windows, and spotify versions are up to date on both",device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0104,@116130 why am i being charged twice. One payment of 9.99 and one of 4.99 (as im a student),billing_charge,billing_charge,ESCALATE,ESCALATE,other_uncertainty,,,
g0105,"@SpotifyCares here we are 3 weeks later! what's the word? when do we get Alexa/Echo multiroom? Or if not, why not? Legal issues? @118117 getting upset with you? You just asked me to reup for a year for $100 and @115821 is making it real easy to quit you and move on - tell me why I shouldn't?",device_platform,device_platform,ESCALATE,ESCALATE,other_uncertainty,,,
g0106,"@121907 What about the ""Radio"" function on Thailand Premium?? Do we know when Thailand will introduce it? I have been waiting for months!!!????? https://t.co/Bo3wrqkzeD",premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0108,@SpotifyCares I’m a premium acct and I got a message saying I need to update CC info but no where to do it in app or contact help. Please help.,premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0113,@SpotifyCares Not on my desktop right now. But it's Windows 10. And app tries to start and then shuts down after seconds.,device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0114,"@SpotifyCares Most of the ads are too loud, significantly louder than music is. It's on all platforms and devices. Need to implement some kind of avg loudness req",playback_error,playback_error,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0115,hello my spotify problem still hasnt fixed and i realized it was bc of my country in apple id since its on korea 😩 so i had to cancel my applemusic subscription as well BUT FUCKING BITCH IT WASNT CANCELLED I STILL HAVE TO WAIT FOR FEW WEEKS TO CANCEL MY MEMBERSHIP IM MAD,content_unavailable,content_unavailable,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0116,"@SpotifyCares i’m using windows 7 on desktop, and everytime i try to open the program is gives me this, which only started happening 2 days ago. i do reinstall it like it says but i have to reinstall everytime i want to turn on my computer https://t.co/A4DSWkXDOR",device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0117,"I love how @115888 keeps giving me reasons NOT to give money to them. WHY IN THE WORLD IS SPOTIFY RUNNING ON MY PHONE WHEN I'M PLAYING IT ON MY DESKTOP? And there seems to be no way to disable this. 

Back to youtube and deezer I go then",billing_charge,billing_charge,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0121,"@SpotifyCares I can't log into Spotify via my Facebook account - ""You don't have an account set up with these Facebook credentials.   Sign up for one now.""  I try to sign up for one, but my email is already used.  I need to have my email and/or Facebook account removed.",content_unavailable,content_unavailable,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0122,"@SpotifyCares yo could you all improve your shuffle feature, like add an accumulator so that each time a song doesn't play it increases its chance of playing next? I have 1300+ songs in my library but feel like I have a similar cluster of songs come up everytime listen :(",playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0127,My @115888 it's okay now 😍 I can download and stream all the songs of @133324  💜💜💜,offline_download,offline_download,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0128,Hey @115888 you wanna tell me why I'm still getting those stupid suggested tracks on my app when I have the setting for it turned off? I wanna listen to my music and no one else's.,playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0129,@SpotifyCares Yes they are up to date. I just have an issue when I'm listening to a playlist sometimes it will pause the song. And the only way to fix it is to start the song again,playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0131,"@SpotifyCares Just signed up for premium during the 99 cent/three month trial. However my username is not right. I know I need to close the account and basically start over, but can I do this while keeping the trial going? Thanks!",account_login,account_login,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0132,Yo @115888 @117168 someone need trying to use my account while I’m using it right now.. we’re literally battling between Christmas and Mexican music right now. How do I cut them off??,playback_error,playback_error,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0133,@spotifycares are you offering ‘Fade Away’ from Selah Sue at any point?  I like the song and it’s not there.,playback_error,playback_error,ESCALATE,ESCALATE,other_uncertainty,,,
g0136,"@SpotifyCares 
Reset password
The CSRF token is invalid. Please try to resubmit the form.
Please fix this!!!!!!!!!!!!!!!!!!!",account_login,account_login,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0137,"@SpotifyCares Hi-I have been adding missing songs to my playlists from my Local Files and this has worked great until today. Today, when I drop and drop my local files to my playlist it replaces them with wrong approximate matches. How do I stop this?",playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0138,"@SpotifyCares hey so a while back i tweeted about Spotify premium not transferring over local files to my iPhone SO I changed the WiFi I was using on both devices, uninstalled on both, logged out on both etc. But still not working???",premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0139,"@SpotifyCares Not that I noticed— just music then suddenly two back-to-back ads, which I’ve been getting on PC, too. I wouldn’t mind, if it wasn’t for the 30-minutes thing on mobile. But a general explanation as to why im getting double ads in general works too.",playback_error,playback_error,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0141,@115888 how about an incognito feature for songs and albums?Sometimes u just wanna listen to Christmas or classical music all day but don’t want 20 similar recommendations,playback_error,playback_error,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
g0142,@118266 @118266 berarti premium punya saya sampai tanggal 26 Februari kan yaa?,premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,other_uncertainty,,,
