golden_id,customer_msg,intent,escalation_label,platform,has_escalation_signal,has_resolution,response_type,brand_response,agent_ts,convo_id
g0030,"Over 10 ads in a row, really? @115888 that’s not the way to convince me to go premium.",premium_subscription,AUTO_HANDLE,unknown,False,True,troubleshooting,"@657844 Hey! Thanks for your feedback - we'll pass it on. For now, check out https://t.co/WB5TSxRfDe if you haven't had a subscription before /NJ",2017-11-26T15:01:19+00:00,2259050
g0031,@SpotifyCares There's no problem now. Once I've crashed out of windows and rebooted it works OK. But I have had this happen 3 or 4 times always when starting up the desktop app.,device_platform,AUTO_HANDLE,windows,False,True,troubleshooting,@802997 Okay. Best thing to try next is a reinstall. Just follow the steps at https://t.co/EqisDMwZAT. Let us know if you're still experiencing issues /AL,2017-11-28T19:57:45+00:00,2898344
g0032,@SpotifyCares how do I view the full featured artists instead of seeing the dots? When the song is playing it doesn’t even list the features https://t.co/cNkHFMl1KV,playback_error,AUTO_HANDLE,unknown,False,False,other,"@525136 Hey, help's here! While the track is selected, the featured artists should scroll through allowing you to see them all. Currently, it's not possible to see them on the album page. We'll let the right team know it's something you'd like to see. Keep rocking 🤘 /TX",2017-11-30T19:49:10+00:00,1740424
g0033,@SpotifyCares just sign up for the premium after Logging in seem is not can’t play any song like .,premium_subscription,AUTO_HANDLE,unknown,False,True,troubleshooting,"@127867 Hey Jonathan, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TR https://t.co/ldFdZRiNAt",2017-11-28T16:42:47+00:00,2896722
g0034,"@115888 I can't get spotify to play any songs. I was playing one, tried to skip it but then it just wouldn't play any songs at all.",playback_error,AUTO_HANDLE,unknown,False,False,clarification,"@233340 Hey Melanie, help's here. Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /KL",2017-12-01T18:12:41+00:00,496123
g0035,Someone hacked my Spotify account of 5+ years and replaced all my saved songs with Dutch grime and xxxtentacion songs...uhmmm help? @115888 @SpotifyCares,offline_download,ESCALATE,unknown,True,False,link,"@796170 Hey Denis, that's not cool! Can you DM us your account's email address or username? We'll take a look backstage /MT https://t.co/ldFdZRiNAt",2017-11-28T00:37:22+00:00,2866607
g0036,"@SpotifyCares pls help me, I just purchased premium, but the Behind Lyrics doesn't appear when I play one of the songs. I thought its because the device I have, Android. Bcs I logged in into iPhone, the Behind Lyrics appear. Thanks.",premium_subscription,AUTO_HANDLE,android,False,False,other,"@132495 Hey, sorry for the confusion! We're afraid Behind the Lyrics is only available for iPhone 5 or above at this time. If you need anything else, give us a shout /TR",2017-11-27T17:07:39+00:00,73742
g0037,"@115940 @115888 @hulu_support I should also mention that after this bundle was first launched, my payment plan apparently shifted to a normal $10 fee. I'm not sure when or why this happened but I had to manually switch it.",billing_charge,ESCALATE,unknown,False,False,link,@809285 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,2017-11-29T04:18:22+00:00,2926807
g0038,"@115888 @SpotifyCares MAJOR Question: There is a lot of talk online about the Snowy app for Apple Watches. Has there been any development on that app? I love Spotify, but this lack of offline music is turning away many of your regular users. Any updates?",offline_download,AUTO_HANDLE,unknown,False,True,troubleshooting,"@417449 We hear you, Caleb! We don't have any info on this right now, but check out the official idea here: https://t.co/SEK4E4gi22. Add your vote to let our devs know it's something you'd like to see /CO",2017-11-25T12:25:17+00:00,1270437
g0039,@SpotifyCares i recently got charged 3 times when i only agreed for 1 payment,billing_charge,AUTO_HANDLE,unknown,False,True,troubleshooting,"@794891 Hey, help's here! We've just sent you a DM. Check your inbox /RH",2017-11-27T22:43:20+00:00,2861266
g0040,"@SpotifyCares where's Bonzo goes to Bitburg by Ramones? In fact, the whole album, Animal boy, is not available. Wtf.",content_unavailable,AUTO_HANDLE,unknown,False,True,troubleshooting,"@125856 Hey Lucas! Just to check, what country is your Spotify account set to? /MT",2017-11-26T00:36:38+00:00,44418
g0041,Someone hacked my Spotify and deleted all of my playlists... why would you do that to a person,playlist_library,ESCALATE,unknown,True,True,troubleshooting,"@763452 Hey, we’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next. If there's anything else, feel to send a tweet our way /YM",2017-11-26T23:01:51+00:00,2720918
g0042,Hello @SpotifyCares! My account has been hacked. Got an email telling me my email has changed and I can't log in anymore. I already messaged you earlier. Please look into it and reply asap! I want my spotify!!! Tnx,account_login,ESCALATE,unknown,True,True,troubleshooting,@260716 Hey there! We've just replied to your DM. Check it out /DB,2017-12-03T18:15:50+00:00,594077
g0043,@SpotifyCares I was charged for a subscription I wasn’t eligible for. It was the student membership.,billing_charge,AUTO_HANDLE,unknown,False,True,troubleshooting,@278001 Hi there! Help's here. Can you DM us your account's username or email address? We'll check things backstage /MU https://t.co/ldFdZRiNAt,2017-11-25T07:06:43+00:00,663084
g0044,"@SpotifyCares Hi there! I’ve been on the family plan but I have been charged an extra 10$ a month just for me. I cancelled my last plan, but it’s still charging. How can I fix this?",billing_charge,AUTO_HANDLE,unknown,False,True,troubleshooting,@796980 Hey there! Can you DM us your account's email address? We'll check things out /KC https://t.co/ldFdZRiNAt,2017-11-28T02:19:24+00:00,2870088
g0045,@SpotifyCares foreign speakers are showing up on my list of Available Devices on my Android Phone. Looked into it (https://t.co/ZKYj4SRsNb) and seems a common hack people do though not clear how to fix it. Please help,device_platform,ESCALATE,android,True,False,link,"@255063 Hi there. Thanks for bringing this up. To start, can you DM us your username or email address so we can pull up your account? /JU https://t.co/ldFdZRiNAt",2017-12-03T06:48:06+00:00,574257
g0046,@SpotifyCares Also the same thing that i get when i try to upload music,playback_error,AUTO_HANDLE,unknown,False,False,link,@175357 Hmm. Could you DM us your contact email address? We’ll chase this up! /LS https://t.co/ldFdZRiNAt,2017-11-27T06:55:50+00:00,249728
g0047,"@SpotifyCares Windows 10, Google Chrome.",device_platform,AUTO_HANDLE,windows,False,True,troubleshooting,@139555 Thanks for the info. Can you try using an incognito/private window? Let us know if that helps /CE,2017-12-01T00:15:25+00:00,106309
g0048,"@SpotifyCares hi! My Spotify app on my Galaxy S7 Edge always freezes when I reach a certain song, to the point that even restarting my phone does nothing. Can you help?",playback_error,AUTO_HANDLE,unknown,False,True,troubleshooting,@249297 Hey there! Can you try reinstalling the app using the steps here: https://t.co/PDA2aKzC6Q? Let us know how it plays out /LM,2017-12-02T20:18:18+00:00,554139
g0049,@SpotifyCares is there a bug because everytime I play a video while I’m listening to Spotify it goes off like normal but when I close the video and Try to turn the music back on it says it’s playing but there won’t be any sound,app_crash_bug,AUTO_HANDLE,unknown,False,False,clarification,"@253236 Hey Chris! The cavalry's here. Can you let us know the make/model of your device, as well as the operating system and Spotify version you're using? We'll see what we can suggest /KB",2017-12-03T02:12:37+00:00,567974
g0050,"@SpotifyCares I need help resetting my password. I think someone hacked my account and changed it, but I was still able to log in through Facebook",account_login,ESCALATE,unknown,True,False,link,@139567 Hi Lance. Can you DM us your account's email address? We'll take a look backstage /LM https://t.co/ldFdZRiNAt,2017-11-30T18:35:46+00:00,106348
g0051,@3072  @115888  Android version on Pixel 2 XL. Update cuts off bottom bar titles. https://t.co/mEURnx0wiI,device_platform,AUTO_HANDLE,android,False,True,troubleshooting,@228087 Hi Richard! That's odd. Can you try logging out &gt; restarting your phone &gt; logging back in to see if it helps? Keep us posted /MU,2017-12-01T10:47:41+00:00,475198
g0052,@SpotifyCares Hey there! Would love it if you could add my music to Acoustic Concentration or a similar playlist. Love getting my music onto new playlists.,playlist_library,AUTO_HANDLE,unknown,False,True,troubleshooting,@805858 Hey Glenn! Our Curation team are independent so there's no formal submission process. Check out https://t.co/BSrd71XWKW to help you gain visibility /KL,2017-11-28T21:41:54+00:00,2910966
g0053,@SpotifyCares you guys charged me for a students account which I hadnt finished signing up. I cancelled and exoted the screen in the middle of me signing up and I STILL GOT CHARGED. EXPLAIN THIS. https://t.co/nHmMfDaM1D,billing_charge,AUTO_HANDLE,unknown,False,True,troubleshooting,"@812748 Hi there. We suggest deleting your public post as it contains private info. We've sent a bit more info via DM. If you could check your inbox, that'd be great /AY",2017-11-29T13:35:22+00:00,2941515
g0054,@SpotifyCares We just switched over from apple music to spotify. We have a Premium Family account. I have tried to block explicit content (obviously we have young children - being a FAMILY account...) but can't seem to find a way to do it. Can you please help??,premium_subscription,AUTO_HANDLE,unknown,False,False,link,"@808050 Hey Trish, we hear you! There isn't currently a explicit music filter. To help make it happen, we’d recommend showing your support for the idea here: https://t.co/CdI1SY9KZE. Give us a shout if you need anything else, we'll get back to you in a beat 🥁 /ZO",2017-11-29T00:40:04+00:00,2919410
g0055,@SpotifyCares iPhone 6 on 3 ...it’s only happened recently all my updates are done so I don’t understand why,device_platform,AUTO_HANDLE,iphone,False,False,link,@157530 Thanks. Can you DM us your username or email address so we can take a closer look? /JU https://t.co/ldFdZRiNAt,2017-11-26T22:39:31+00:00,176517
g0056,@115888 stop playing your suggested music in the middle of my playlists. I want to listen to my music not whatever you come up with. For everyone one song I have in my playlist I hear three reccomnended ones that I can’t skip bc I can’t afford premium. Sick of it,premium_subscription,AUTO_HANDLE,unknown,False,True,troubleshooting,"@801527 Hey Lauren! To reduce the number of Suggested Tracks you get, try adding more artists into your playlists. This should do the trick /MX",2017-11-28T14:30:15+00:00,2891296
g0057,"@SpotifyCares Why show that my playlist has followers if I can't see who the followers are? Just remove the follower count, it doesn't matter and it makes it pointless. Obviously there's some common musical interests but there's no connect so doesn't matter.",playlist_library,AUTO_HANDLE,unknown,False,False,other,"@254908 We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /JS",2017-12-03T06:14:15+00:00,573764
g0058,"Hey @SpotifyCares, I got this message. Uninstalled, re-downloaded and re-installed and it happened it again. https://t.co/RBRdDUf2qf",offline_download,AUTO_HANDLE,unknown,False,False,clarification,@253243 Hey there! The cavalry's here. Does restarting your PC make any difference? Can you let us know the Windows and Spotify version you're using? We'll see what we can suggest /KB,2017-12-03T02:01:45+00:00,567990
g0059,How the heck do you listen to music when @115888 is down😫,playback_error,AUTO_HANDLE,unknown,False,False,other,@810668 Hey there! Everything should be running smoothly now. Let us know if you're still getting issues /GS,2017-11-29T00:32:42+00:00,2930612
g0060,Seriously pissed off @115888 for blocking(suddenly) THE BEST song on @28787 live CD. WTF. #PremiumGetsYaNowhere,playback_error,AUTO_HANDLE,unknown,False,True,troubleshooting,@772188 Hey Patti! Sometimes content gets removed due to licensing changes. Hopefully we'll have it available again soon. Check this out: https://t.co/1dgftcFtzc /AR,2017-11-29T04:52:40+00:00,2927394
g0061,"@SpotifyCares iPhone 8plus, iOS 11.1.2, 8.4.28.1104",device_platform,AUTO_HANDLE,iphone,False,True,troubleshooting,"@136356 Thanks. Just to check, is this happening on all your downloaded songs or just your Albums? /XF",2017-11-30T15:51:02+00:00,93865
g0062,"@SpotifyCares So yeah, your app. I’m just intrigued as to wether I could be getting an even better sound as the @137949 speaker is the absolute bollocks 🙏🏼",device_platform,AUTO_HANDLE,speaker,False,False,other,"@199354 Thanks for confirming. At the moment, we're afraid it’s not possible to adjust audio settings while Spotify Connect is active. We're taking all the feedback on this. No worries, we'll make sure to pass on your thoughts to the right folks /RC",2017-11-28T13:54:18+00:00,2853031
g0063,@SpotifyCares hello. My app won't connect to Sonos. Tried reauthorizing the account and reinstalling the app.,device_platform,AUTO_HANDLE,sonos,False,False,link,"@251263 Hi Brian! Can you DM us your account's email address or username? Also, let us know your devices' make/model, operating system, and Spotify version? We'll take a look /GT https://t.co/ldFdZRiNAt",2017-12-02T22:42:05+00:00,560976
g0064,@SpotifyCares Yo I appreciate it. This is a recommendation of a push notification feature for playlist updates.,playlist_library,AUTO_HANDLE,unknown,False,False,other,"@786435 We're currently not sending this type of notification, but we're passing on all feedback about this. Rest assured we'll let the team know you'd like to see this feature /AY",2017-11-27T08:09:12+00:00,2821998
g0065,@SpotifyCares Hi. Signed up for family account. My girlfriend has signed up too. But only has option for 7 days free premium. Have we registered wrong?,premium_subscription,AUTO_HANDLE,unknown,False,True,troubleshooting,"@805586 Hey Stuart, help's arrived! Can you send us a DM with yours and your girlfriend's username and email address. We'll check things out backstage 🔍 /DI https://t.co/ldFdZRiNAt",2017-11-28T21:20:27+00:00,2909819
g0066,"ok @115888 20 msgs, 10 customer serv reps, 6 weeks later, you still havent taken care of my hacked account nor successfully transfer my hacked account to my new account like you promised, includ. my Premium membership. You’d think you’d want to take my money at the very least",billing_charge,ESCALATE,unknown,True,False,dm_redirect,"@126139 Hey Jessie! Don't worry, our Accounts team is currently looking into your case. If there's anything at all that we can help with, just send us a DM. We'll see what we can do /KT",2017-11-29T13:36:07+00:00,2941512
g0067,"@SpotifyCares Logged into my account after a couple years, my password, email, area code, country, have all been changed and are linked to my facebook account. I looked at the support page but all lead back to email or password which I have access to neither now. Help please, ty.",account_login,AUTO_HANDLE,unknown,False,True,troubleshooting,"@253234 Hi there, we’re sorry to hear that. Check out https://t.co/iVpg60w61i for what to do next /AK",2017-12-03T02:27:34+00:00,567962
g0068,"Bye @115888 , you can’t even process my payment 😫 @115948 sorry it took me long to come to my senses",billing_charge,AUTO_HANDLE,unknown,False,True,troubleshooting,@794894 Hey Denisse! Are you getting any specific error messages? Can you DM us your account's email address? We'll check things out /KC,2017-11-27T22:41:14+00:00,2861272
g0069,"@SpotifyCares Like I say, my speaker is visible, but when I click on it, the app just goes back to the song screen and doesn't switch to the speaker... https://t.co/7k5oCPmc45",device_platform,AUTO_HANDLE,speaker,False,True,troubleshooting,"@135361 Just to confirm, were you able to do a clean reinstall as suggested? /NG",2017-11-30T17:42:00+00:00,89467
g0070,@SpotifyCares some of my songs in my library are not playing at all!!!,playlist_library,AUTO_HANDLE,unknown,False,True,troubleshooting,"@257826 Hey Kaylie! Just to check, are those songs grayed-out? Sending us your device, operating system, and Spotify app version would be handy too /PC",2017-12-03T14:11:20+00:00,584164
g0071,@SpotifyCares Will Spotify ever get two factor authentication. I had my account hacked today and I'd rather have something stronger than just changing the password.,account_login,ESCALATE,unknown,True,False,link,"@259185 Hi, help's here! Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZRiNAt",2017-12-03T16:06:17+00:00,588872
g0072,"@SpotifyCares i’m using windows 7 on desktop, and everytime i try to open the program is gives me this, which only started happening 2 days ago. i do reinstall it like it says but i have to reinstall everytime i want to turn on my computer https://t.co/A4DSWkXDOR",device_platform,AUTO_HANDLE,windows,False,True,troubleshooting,"@251614 1. Hey there! Can you try right clicking your task bar &gt; Start Task Manager &gt; Processes, and then end any processes by Spotify. Afterwards, delete the Spotify folders found in C:\Users\USERNAME\AppData\Roaming and C:\Users\USERNAME\AppData\Local",2017-12-03T00:11:43+00:00,562449
g0073,@SpotifyCares @118266 I'm using older version of spotify 8.4.226.770 on Android 4.4.2 and latest version of spotify 8.4.28.875 on Android 7.1.2 please help!,device_platform,AUTO_HANDLE,android,False,True,troubleshooting,@364815 Hi Jim! Help's here. Can you DM us your account's username or email address? We'll check things backstage /MU https://t.co/ldFdZRiNAt,2017-11-25T11:10:11+00:00,1034933
g0074,"@115888 i watched the video 174892 times, when do i get my 30 minutes of ad free music?",playback_error,AUTO_HANDLE,unknown,False,True,troubleshooting,"@787263 Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /RE",2017-11-27T10:13:39+00:00,2826152
g0075,@SpotifyCares it is necessary to clear the cache,offline_download,AUTO_HANDLE,unknown,False,False,other,@155909 Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team /LO,2017-11-25T06:41:58+00:00,171090
g0076,"@115888 @SpotifyCares @112775 - Hi, any chance of Agony and Irony being added onto the library? Thank you :)",playlist_library,AUTO_HANDLE,unknown,False,False,link,@812738 Hey there! We’ll have it available to you as soon as it’s available to us. https://t.co/1dgftcFtzc /PL,2017-11-29T13:56:55+00:00,2941483
g0077,"Any Spotify artists know how to find out what @115888 playlists their music's being featured on? 🙏🏾 25% of my plays are comin from Spotify playlist but I can tell which ones! 😨
#StayWavy 🌊🏄🏽",playlist_library,AUTO_HANDLE,unknown,False,False,link,"@806963 Hey Cee, that's not cool! You can contact our Artist team here: https://t.co/p1wbtdELHu. If you've reached out, DM us your email address &amp; we'll chase it up /JK",2017-11-28T23:07:20+00:00,2915245
g0078,"Got a new phone and Spotify won’t let me log in using my email or with Facebook! Please help, @SpotifyCares @115888 @117168",account_login,AUTO_HANDLE,unknown,False,True,troubleshooting,@306505 Hi Jacqueline! Can you DM us your account's email address? We'll check backstage and see what we can suggest /NY https://t.co/ldFdZRiNAt,2017-11-25T09:01:49+00:00,781169
g0079,@115888 Not true. I downloaded Spotify and theres no free songs to download. Just to let u know,offline_download,AUTO_HANDLE,unknown,False,False,link,"@792505 Hey there! Allow us to clear things up. With Spotify Free, you'll be able to access and stream all the songs in our catalog, but you'll be unable to download them for offline listening. There's more info about our subscription options here: https://t.co/yhxGR83lPs /DB",2017-11-27T19:16:42+00:00,2850061
g0080,"@SpotifyCares tried to buy a premium gift card but after I entered the e-delivery details and hit continue, the page just refreshed w/o taking me to a payment page. Help?",billing_charge,AUTO_HANDLE,unknown,False,True,troubleshooting,"@251264 Hey Natalie, help's here! Can you try using a different browser or an incognito window? Clearing your browser's cache and cookies might also help. Let us know how it goes /GS",2017-12-02T22:41:22+00:00,560978
g0081,@115888 I don’t pay every month so you can restrict my music listening. Am I supposed to bring my Mac in the car for music? Nah fam. Get mobile Spotify working again. https://t.co/E3kJlTxeYw,playlist_library,AUTO_HANDLE,mac,False,False,other,@807295 Hey Devin! Everything should be running smoothly now. Let us know if this is still happening /GS,2017-11-28T23:44:52+00:00,2916616
