golden_id,customer_msg,auto_intent,human_intent,auto_escalation,human_escalation,platform,has_escalation_signal,confidence_note,reviewer_notes
g0018,"@117153 hi i have sign up under premium but cant download anything, it require me to re-do it again pls help to check :)",premium_subscription,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0019,"@117153 Hi there. I'm being charged for Premium Spotify, but my account is not showing anything so i can't cancel. I tried my other emails and they're not showing any Spotify associated with them. My account is __email__",billing_charge,,ESCALATE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0020,@SpotifyCares I updated my payment method and it took the $4.99 out of my bank account but my premium still isn't working..,billing_charge,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0021,"@SpotifyCares have been using the free version for a while with no problems, soon as I pay for family premium Spotify stops every couple of songs. What's going on?",premium_subscription,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0022,So @115888 is a little broken at the moment but you can get our record on @115948 or @118721 too! https://t.co/eoWnHPpj9n,app_crash_bug,,AUTO_HANDLE,,unknown,False,,
g0023,"@SpotifyCares Only 70% of my library was deleted this time so we're making progress, but it's still an issue. https://t.co/1ROB3b3f5E",playlist_library,,AUTO_HANDLE,,unknown,False,,
g0024,@115888 no #Fridayonelmstreet tracks on rap cavier playlist? 🤦🏾‍♂️ it cant be all trash trap music.,playlist_library,,AUTO_HANDLE,,unknown,False,,
g0025,"@SpotifyCares Even remotely relate. Your alogrthims are either screwed, or you assume jazz/blues/folk is related to country. Insulting just thinking about it",content_unavailable,,AUTO_HANDLE,,unknown,False,,
g0026,"Hi, @115888 gentlemen it's been 2 weeks since the premiere of the #reputation and know, when will be put this magnificent art of music in its platform had understood that they were in denial with @118062 me as a premium user I have the right to know #Swifties",premium_subscription,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0027,@115888 @SpotifyCares Can we get an update on this Spotiamb 0.2.1 thing that keeps taking over streams? It is really irritating to have your music pausing several times an hour. It’s also a little concerning that you guys don’t seem to have any input on this.,playback_error,,AUTO_HANDLE,,unknown,False,,
g0028,@SpotifyCares If I have a sub that ends in a month but i join my households fam plan do i still get charged for my last month of my previous subscription???,billing_charge,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0029,@117153 I have just paid for the premium but still gives me the free subscription,billing_charge,,AUTO_HANDLE,,unknown,False,,
g0030,"Over 10 ads in a row, really? @115888 that’s not the way to convince me to go premium.",premium_subscription,,AUTO_HANDLE,,unknown,False,,
g0031,@SpotifyCares There's no problem now. Once I've crashed out of windows and rebooted it works OK. But I have had this happen 3 or 4 times always when starting up the desktop app.,device_platform,,AUTO_HANDLE,,windows,False,,
g0032,@SpotifyCares how do I view the full featured artists instead of seeing the dots? When the song is playing it doesn’t even list the features https://t.co/cNkHFMl1KV,playback_error,,AUTO_HANDLE,,unknown,False,,
g0033,@SpotifyCares just sign up for the premium after Logging in seem is not can’t play any song like .,premium_subscription,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0034,"@115888 I can't get spotify to play any songs. I was playing one, tried to skip it but then it just wouldn't play any songs at all.",playback_error,,AUTO_HANDLE,,unknown,False,,
g0035,Someone hacked my Spotify account of 5+ years and replaced all my saved songs with Dutch grime and xxxtentacion songs...uhmmm help? @115888 @SpotifyCares,offline_download,,ESCALATE,,unknown,True,MULTI-KEYWORD — possible ambiguity | ESCALATION-SIGNAL — verify label,
g0036,"@SpotifyCares pls help me, I just purchased premium, but the Behind Lyrics doesn't appear when I play one of the songs. I thought its because the device I have, Android. Bcs I logged in into iPhone, the Behind Lyrics appear. Thanks.",premium_subscription,,AUTO_HANDLE,,android,False,MULTI-KEYWORD — possible ambiguity,
g0037,"@115940 @115888 @hulu_support I should also mention that after this bundle was first launched, my payment plan apparently shifted to a normal $10 fee. I'm not sure when or why this happened but I had to manually switch it.",billing_charge,,ESCALATE,,unknown,False,,
g0038,"@115888 @SpotifyCares MAJOR Question: There is a lot of talk online about the Snowy app for Apple Watches. Has there been any development on that app? I love Spotify, but this lack of offline music is turning away many of your regular users. Any updates?",offline_download,,AUTO_HANDLE,,unknown,False,,
g0039,@SpotifyCares i recently got charged 3 times when i only agreed for 1 payment,billing_charge,,AUTO_HANDLE,,unknown,False,,
g0040,"@SpotifyCares where's Bonzo goes to Bitburg by Ramones? In fact, the whole album, Animal boy, is not available. Wtf.",content_unavailable,,AUTO_HANDLE,,unknown,False,,
g0041,Someone hacked my Spotify and deleted all of my playlists... why would you do that to a person,playlist_library,,ESCALATE,,unknown,True,ESCALATION-SIGNAL — verify label,
g0042,Hello @SpotifyCares! My account has been hacked. Got an email telling me my email has changed and I can't log in anymore. I already messaged you earlier. Please look into it and reply asap! I want my spotify!!! Tnx,account_login,,ESCALATE,,unknown,True,ESCALATION-SIGNAL — verify label,
g0043,@SpotifyCares I was charged for a subscription I wasn’t eligible for. It was the student membership.,billing_charge,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0044,"@SpotifyCares Hi there! I’ve been on the family plan but I have been charged an extra 10$ a month just for me. I cancelled my last plan, but it’s still charging. How can I fix this?",billing_charge,,AUTO_HANDLE,,unknown,False,,
g0045,@SpotifyCares foreign speakers are showing up on my list of Available Devices on my Android Phone. Looked into it (https://t.co/ZKYj4SRsNb) and seems a common hack people do though not clear how to fix it. Please help,device_platform,,ESCALATE,,android,True,ESCALATION-SIGNAL — verify label,
g0046,@SpotifyCares Also the same thing that i get when i try to upload music,playback_error,,AUTO_HANDLE,,unknown,False,,
g0047,"@SpotifyCares Windows 10, Google Chrome.",device_platform,,AUTO_HANDLE,,windows,False,,
g0048,"@SpotifyCares hi! My Spotify app on my Galaxy S7 Edge always freezes when I reach a certain song, to the point that even restarting my phone does nothing. Can you help?",playback_error,,AUTO_HANDLE,,unknown,False,,
g0049,@SpotifyCares is there a bug because everytime I play a video while I’m listening to Spotify it goes off like normal but when I close the video and Try to turn the music back on it says it’s playing but there won’t be any sound,app_crash_bug,,AUTO_HANDLE,,unknown,False,,
g0050,"@SpotifyCares I need help resetting my password. I think someone hacked my account and changed it, but I was still able to log in through Facebook",account_login,,ESCALATE,,unknown,True,ESCALATION-SIGNAL — verify label,
g0051,@3072  @115888  Android version on Pixel 2 XL. Update cuts off bottom bar titles. https://t.co/mEURnx0wiI,device_platform,,AUTO_HANDLE,,android,False,,
g0052,@SpotifyCares Hey there! Would love it if you could add my music to Acoustic Concentration or a similar playlist. Love getting my music onto new playlists.,playlist_library,,AUTO_HANDLE,,unknown,False,,
g0053,@SpotifyCares you guys charged me for a students account which I hadnt finished signing up. I cancelled and exoted the screen in the middle of me signing up and I STILL GOT CHARGED. EXPLAIN THIS. https://t.co/nHmMfDaM1D,billing_charge,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0054,@SpotifyCares We just switched over from apple music to spotify. We have a Premium Family account. I have tried to block explicit content (obviously we have young children - being a FAMILY account...) but can't seem to find a way to do it. Can you please help??,premium_subscription,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0055,@SpotifyCares iPhone 6 on 3 ...it’s only happened recently all my updates are done so I don’t understand why,device_platform,,AUTO_HANDLE,,iphone,False,,
g0056,@115888 stop playing your suggested music in the middle of my playlists. I want to listen to my music not whatever you come up with. For everyone one song I have in my playlist I hear three reccomnended ones that I can’t skip bc I can’t afford premium. Sick of it,premium_subscription,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0057,"@SpotifyCares Why show that my playlist has followers if I can't see who the followers are? Just remove the follower count, it doesn't matter and it makes it pointless. Obviously there's some common musical interests but there's no connect so doesn't matter.",playlist_library,,AUTO_HANDLE,,unknown,False,,
g0058,"Hey @SpotifyCares, I got this message. Uninstalled, re-downloaded and re-installed and it happened it again. https://t.co/RBRdDUf2qf",offline_download,,AUTO_HANDLE,,unknown,False,,
g0059,How the heck do you listen to music when @115888 is down😫,playback_error,,AUTO_HANDLE,,unknown,False,,
g0060,Seriously pissed off @115888 for blocking(suddenly) THE BEST song on @28787 live CD. WTF. #PremiumGetsYaNowhere,playback_error,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0061,"@SpotifyCares iPhone 8plus, iOS 11.1.2, 8.4.28.1104",device_platform,,AUTO_HANDLE,,iphone,False,,
g0062,"@SpotifyCares So yeah, your app. I’m just intrigued as to wether I could be getting an even better sound as the @137949 speaker is the absolute bollocks 🙏🏼",device_platform,,AUTO_HANDLE,,speaker,False,,
g0063,@SpotifyCares hello. My app won't connect to Sonos. Tried reauthorizing the account and reinstalling the app.,device_platform,,AUTO_HANDLE,,sonos,False,,
g0064,@SpotifyCares Yo I appreciate it. This is a recommendation of a push notification feature for playlist updates.,playlist_library,,AUTO_HANDLE,,unknown,False,,
g0065,@SpotifyCares Hi. Signed up for family account. My girlfriend has signed up too. But only has option for 7 days free premium. Have we registered wrong?,premium_subscription,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0066,"ok @115888 20 msgs, 10 customer serv reps, 6 weeks later, you still havent taken care of my hacked account nor successfully transfer my hacked account to my new account like you promised, includ. my Premium membership. You’d think you’d want to take my money at the very least",billing_charge,,ESCALATE,,unknown,True,MULTI-KEYWORD — possible ambiguity | ESCALATION-SIGNAL — verify label,
g0067,"@SpotifyCares Logged into my account after a couple years, my password, email, area code, country, have all been changed and are linked to my facebook account. I looked at the support page but all lead back to email or password which I have access to neither now. Help please, ty.",account_login,,AUTO_HANDLE,,unknown,False,,
g0068,"Bye @115888 , you can’t even process my payment 😫 @115948 sorry it took me long to come to my senses",billing_charge,,AUTO_HANDLE,,unknown,False,,
g0069,"@SpotifyCares Like I say, my speaker is visible, but when I click on it, the app just goes back to the song screen and doesn't switch to the speaker... https://t.co/7k5oCPmc45",device_platform,,AUTO_HANDLE,,speaker,False,,
g0070,@SpotifyCares some of my songs in my library are not playing at all!!!,playlist_library,,AUTO_HANDLE,,unknown,False,,
g0071,@SpotifyCares Will Spotify ever get two factor authentication. I had my account hacked today and I'd rather have something stronger than just changing the password.,account_login,,ESCALATE,,unknown,True,ESCALATION-SIGNAL — verify label,
g0072,"@SpotifyCares i’m using windows 7 on desktop, and everytime i try to open the program is gives me this, which only started happening 2 days ago. i do reinstall it like it says but i have to reinstall everytime i want to turn on my computer https://t.co/A4DSWkXDOR",device_platform,,AUTO_HANDLE,,windows,False,,
g0073,@SpotifyCares @118266 I'm using older version of spotify 8.4.226.770 on Android 4.4.2 and latest version of spotify 8.4.28.875 on Android 7.1.2 please help!,device_platform,,AUTO_HANDLE,,android,False,,
g0074,"@115888 i watched the video 174892 times, when do i get my 30 minutes of ad free music?",playback_error,,AUTO_HANDLE,,unknown,False,,
g0075,@SpotifyCares it is necessary to clear the cache,offline_download,,AUTO_HANDLE,,unknown,False,,
g0076,"@115888 @SpotifyCares @112775 - Hi, any chance of Agony and Irony being added onto the library? Thank you :)",playlist_library,,AUTO_HANDLE,,unknown,False,,
g0077,"Any Spotify artists know how to find out what @115888 playlists their music's being featured on? 🙏🏾 25% of my plays are comin from Spotify playlist but I can tell which ones! 😨
#StayWavy 🌊🏄🏽",playlist_library,,AUTO_HANDLE,,unknown,False,,
g0078,"Got a new phone and Spotify won’t let me log in using my email or with Facebook! Please help, @SpotifyCares @115888 @117168",account_login,,AUTO_HANDLE,,unknown,False,,
g0079,@115888 Not true. I downloaded Spotify and theres no free songs to download. Just to let u know,offline_download,,AUTO_HANDLE,,unknown,False,,
g0080,"@SpotifyCares tried to buy a premium gift card but after I entered the e-delivery details and hit continue, the page just refreshed w/o taking me to a payment page. Help?",billing_charge,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0081,@115888 I don’t pay every month so you can restrict my music listening. Am I supposed to bring my Mac in the car for music? Nah fam. Get mobile Spotify working again. https://t.co/E3kJlTxeYw,playlist_library,,AUTO_HANDLE,,mac,False,,
g0082,"@115888 Anytime I log into my account on a tablet it says I have a free account, but on my phone/computer it's premium. How do I fix this?!",premium_subscription,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0083,"@115888 your app just offered me a year of premium for $99. Clicking the link brings me this page that repeats the offer, but gives no way to buy. Help? https://t.co/Xh0kg167jJ",premium_subscription,,AUTO_HANDLE,,unknown,False,,
g0084,"@SpotifyCares Hey, Add ""Miss You"" by @3212 on ""Today's Top Hits"" playlist! @115888",playlist_library,,AUTO_HANDLE,,unknown,False,,
g0085,@SpotifyCares someone has hacked my spotify account. I refuse to pay for someone else to listen to music. It is very unprofessional that you do not provide a contact number. I had to make a Twitter account just to complain. Please contact me immediately and fix the problem.,playback_error,,ESCALATE,,unknown,True,MULTI-KEYWORD — possible ambiguity | ESCALATION-SIGNAL — verify label,
g0086,"@SpotifyCares It’s iOS, iPhone 6s. v8.4.28.1104. I’m sure it’s working as intended but just a comment about how the queue works :)",device_platform,,AUTO_HANDLE,,ios,False,,
g0087,@115888 why is it that when I click to watch the ad to get 30 minutes of ad-free music do I only get 18 and a half? Your ads tell me that I will get 30 minutes. If thats not the case then advertise for 18 and a half minutes of ad-free music instead of 30,playback_error,,AUTO_HANDLE,,unknown,False,,
g0088,"@SpotifyCares I can't seem to delete a playlist, and it's not available either? But it won't go from my playlists bar...",content_unavailable,,AUTO_HANDLE,,unknown,False,,
g0089,@115888 any progress on getting @19106 velvet album back? I sure am missing listening to that album. There are also one or two songs from various other artists that are unavailable as well. What’s the deal?,content_unavailable,,AUTO_HANDLE,,unknown,False,,
g0090,"@SpotifyCares Getting error message ""Can't play song"" for everything. Tried all the step in the troubleshooting website. Any advice?",app_crash_bug,,AUTO_HANDLE,,unknown,False,,
g0091,@SpotifyCares I can't find that option. I've checked and my Sonos app is up to date. I've removed and then re authorised Spotify as a music service. All no joy.,content_unavailable,,AUTO_HANDLE,,sonos,False,,
g0092,"@SpotifyCares Galaxy note 5-android, hp spectre x360-windows, and spotify versions are up to date on both",device_platform,,AUTO_HANDLE,,android,False,,
g0093,@SpotifyCares When using connect with TV it always gets out of sync. It’s actually playing song 2 on playlist but tv and computer both show playing song 3 https://t.co/awwoKWGgrS,playlist_library,,AUTO_HANDLE,,tv,False,,
g0094,@SpotifyCares When i hit the play button nothing happens at all. It stopped in the middle of a song.,playback_error,,AUTO_HANDLE,,unknown,False,,
g0095,"@SpotifyCares No it did nothing 😥 I also tried uninstalling, wiping the cache of the phone and reinstalling but it still crashes",offline_download,,AUTO_HANDLE,,unknown,False,,
g0096,"@SpotifyCares Nope, doesn’t work 😔 I’m able to log on with my Facebook, but after that it just gives the same error.",app_crash_bug,,AUTO_HANDLE,,unknown,False,,
g0097,"@SpotifyCares I mean, yeah, it usually does. The problem is that I'm trying to listen to a continuous playlist or album uninterrupted. It fixes the error but doesn't solve the problem.",app_crash_bug,,AUTO_HANDLE,,unknown,False,,
g0098,"@SpotifyCares Just checked, worked straight away on my daughter's iPhone using linked family Spotify account.",device_platform,,AUTO_HANDLE,,iphone,False,,
g0099,"@SpotifyCares I think my account has been hacked, someone keeps playing music using Spotiamb 0.2.1 as a device - what do I do to resolve?",playback_error,,ESCALATE,,unknown,True,MULTI-KEYWORD — possible ambiguity | ESCALATION-SIGNAL — verify label,
g0100,@115888 would you like to explain how Portuguese opera music is related to my favorite British pop band? @15790 https://t.co/C73hfCXzWO,playback_error,,AUTO_HANDLE,,unknown,False,,
g0101,"@SpotifyCares iPad mini2, iPhone SE, both iOS 11.1.2 - but this issue is dated back before iOS 11 (hoped the updates will do something about it...) and it occures on both saved and streamed songs (either on WiFi or mobile). Desktop is fine.",playlist_library,,AUTO_HANDLE,,ipad,False,,
g0102,"@SpotifyCares Windows 10
Spotify 1.0.68.407",device_platform,,AUTO_HANDLE,,windows,False,,
g0103,@115888 my music is taking 3+ minutes to download one song. I have 900. Help!,offline_download,,AUTO_HANDLE,,unknown,False,,
g0104,@116130 why am i being charged twice. One payment of 9.99 and one of 4.99 (as im a student),billing_charge,,ESCALATE,,unknown,True,ESCALATION-SIGNAL — verify label,
g0105,"@SpotifyCares here we are 3 weeks later! what's the word? when do we get Alexa/Echo multiroom? Or if not, why not? Legal issues? @118117 getting upset with you? You just asked me to reup for a year for $100 and @115821 is making it real easy to quit you and move on - tell me why I shouldn't?",device_platform,,ESCALATE,,alexa,True,ESCALATION-SIGNAL — verify label,
g0106,"@121907 What about the ""Radio"" function on Thailand Premium?? Do we know when Thailand will introduce it? I have been waiting for months!!!????? https://t.co/Bo3wrqkzeD",premium_subscription,,AUTO_HANDLE,,unknown,False,,
g0107,@115888 my Spotify keeps jumping to play Drill Beats. Has my account been hacked?,playback_error,,ESCALATE,,unknown,True,MULTI-KEYWORD — possible ambiguity | ESCALATION-SIGNAL — verify label,
g0108,@SpotifyCares I’m a premium acct and I got a message saying I need to update CC info but no where to do it in app or contact help. Please help.,premium_subscription,,AUTO_HANDLE,,unknown,False,,
g0109,@117153 I've been paying $14.99 per month several months for what?? I can't access premium or downloads. I demand full refund since subscription commenced.,billing_charge,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0110,"So @115888 @SpotifyCares how many ads one after another is enough? I had at least 4 ads so far, i wonder if I’ll ever hear music?",playback_error,,AUTO_HANDLE,,unknown,False,,
g0111,"@SpotifyCares The past month or two has been an absolutely horrific user experience. Why is the platform degrading—getting more buggy? Patch your bugs or I'm gone. In the meantime, I'll take a two month refund/credit.",billing_charge,,ESCALATE,,unknown,False,,
g0112,@115888 Can you please update us on how long these problems will take to fix? I still can't log in due to them :/,account_login,,ESCALATE,,unknown,False,,
g0113,@SpotifyCares Not on my desktop right now. But it's Windows 10. And app tries to start and then shuts down after seconds.,device_platform,,AUTO_HANDLE,,windows,False,,
g0114,"@SpotifyCares Most of the ads are too loud, significantly louder than music is. It's on all platforms and devices. Need to implement some kind of avg loudness req",playback_error,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0115,hello my spotify problem still hasnt fixed and i realized it was bc of my country in apple id since its on korea 😩 so i had to cancel my applemusic subscription as well BUT FUCKING BITCH IT WASNT CANCELLED I STILL HAVE TO WAIT FOR FEW WEEKS TO CANCEL MY MEMBERSHIP IM MAD,content_unavailable,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0116,"@SpotifyCares i’m using windows 7 on desktop, and everytime i try to open the program is gives me this, which only started happening 2 days ago. i do reinstall it like it says but i have to reinstall everytime i want to turn on my computer https://t.co/A4DSWkXDOR",device_platform,,AUTO_HANDLE,,windows,False,,
g0117,"I love how @115888 keeps giving me reasons NOT to give money to them. WHY IN THE WORLD IS SPOTIFY RUNNING ON MY PHONE WHEN I'M PLAYING IT ON MY DESKTOP? And there seems to be no way to disable this. 

Back to youtube and deezer I go then",billing_charge,,AUTO_HANDLE,,unknown,False,,
g0118,"@115888 pls stop recommending me country music, Niall's album is folk-pop, there's a difference. 😭",content_unavailable,,AUTO_HANDLE,,unknown,False,,
g0119,@SpotifyCares my Spotify premium got hacked — got a notification that email address was changed. Sent u guys an email and u didn’t reply. Please rectify - I don’t want to cancel my subscription,premium_subscription,,ESCALATE,,unknown,True,ESCALATION-SIGNAL — verify label,
g0120,@115888 why isn't @21502's Where are you Christmas on here???? It would make my Christmas playlist a 12/10🔥🔥🔥,playlist_library,,AUTO_HANDLE,,unknown,False,,
g0121,"@SpotifyCares I can't log into Spotify via my Facebook account - ""You don't have an account set up with these Facebook credentials.   Sign up for one now.""  I try to sign up for one, but my email is already used.  I need to have my email and/or Facebook account removed.",content_unavailable,,AUTO_HANDLE,,unknown,False,,
g0122,"@SpotifyCares yo could you all improve your shuffle feature, like add an accumulator so that each time a song doesn't play it increases its chance of playing next? I have 1300+ songs in my library but feel like I have a similar cluster of songs come up everytime listen :(",playlist_library,,AUTO_HANDLE,,unknown,False,,
g0123,@SpotifyCares spotify 8.4.28 ios 11.1,device_platform,,AUTO_HANDLE,,ios,False,SHORT — verify intent,
g0124,@SpotifyCares Sorry - why would I want to revoke access? I want to use Spotify on my sonos..:,device_platform,,AUTO_HANDLE,,sonos,False,,
g0125,"@SpotifyCares no, i turned off the notifs sounds because i thought that was the problem! snapchat is one of the main ones. sometimes the music just shuts off out of nowhere. im the only one that uses my spotify account",playback_error,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0126,@115888 I want to use @159550 to get my podcast on Spotify. How can I get it in the podcast category instead on the music section?,playback_error,,AUTO_HANDLE,,unknown,False,,
g0127,My @115888 it's okay now 😍 I can download and stream all the songs of @133324  💜💜💜,offline_download,,AUTO_HANDLE,,unknown,False,,
g0128,Hey @115888 you wanna tell me why I'm still getting those stupid suggested tracks on my app when I have the setting for it turned off? I wanna listen to my music and no one else's.,playlist_library,,AUTO_HANDLE,,unknown,False,,
g0129,@SpotifyCares Yes they are up to date. I just have an issue when I'm listening to a playlist sometimes it will pause the song. And the only way to fix it is to start the song again,playlist_library,,AUTO_HANDLE,,unknown,False,,
g0130,@SpotifyCares I got locked out of my account because of a paypal issue. Help! I need my music!,account_login,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0131,"@SpotifyCares Just signed up for premium during the 99 cent/three month trial. However my username is not right. I know I need to close the account and basically start over, but can I do this while keeping the trial going? Thanks!",account_login,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0132,Yo @115888 @117168 someone need trying to use my account while I’m using it right now.. we’re literally battling between Christmas and Mexican music right now. How do I cut them off??,playback_error,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0133,@spotifycares are you offering ‘Fade Away’ from Selah Sue at any point?  I like the song and it’s not there.,playback_error,,ESCALATE,,unknown,True,ESCALATION-SIGNAL — verify label,
g0134,omg my Spotify won’t play at the same time I’m on Twitter what is going on someone help @123765 @115888,playback_error,,AUTO_HANDLE,,unknown,False,,
g0135,"@SpotifyCares I have the family plan and a hacker has hacked me twice this past month. I changed my password, but this time they changed my log in info. I cant do a thing. I NEED HELP   https://t.co/8t2QYN8LtT   for id proof",account_login,,ESCALATE,,unknown,True,ESCALATION-SIGNAL — verify label,
g0136,"@SpotifyCares 
Reset password
The CSRF token is invalid. Please try to resubmit the form.
Please fix this!!!!!!!!!!!!!!!!!!!",account_login,,AUTO_HANDLE,,unknown,False,,
g0137,"@SpotifyCares Hi-I have been adding missing songs to my playlists from my Local Files and this has worked great until today. Today, when I drop and drop my local files to my playlist it replaces them with wrong approximate matches. How do I stop this?",playlist_library,,AUTO_HANDLE,,unknown,False,,
g0138,"@SpotifyCares hey so a while back i tweeted about Spotify premium not transferring over local files to my iPhone SO I changed the WiFi I was using on both devices, uninstalled on both, logged out on both etc. But still not working???",premium_subscription,,AUTO_HANDLE,,iphone,False,,
g0139,"@SpotifyCares Not that I noticed— just music then suddenly two back-to-back ads, which I’ve been getting on PC, too. I wouldn’t mind, if it wasn’t for the 30-minutes thing on mobile. But a general explanation as to why im getting double ads in general works too.",playback_error,,AUTO_HANDLE,,unknown,False,,
g0140,@SpotifyCares I wanted you to know that I don’t pay for music.,playback_error,,AUTO_HANDLE,,unknown,False,,
g0141,@115888 how about an incognito feature for songs and albums?Sometimes u just wanna listen to Christmas or classical music all day but don’t want 20 similar recommendations,playback_error,,AUTO_HANDLE,,unknown,False,,
g0142,@118266 @118266 berarti premium punya saya sampai tanggal 26 Februari kan yaa?,premium_subscription,,AUTO_HANDLE,,unknown,False,,
g0143,@SpotifyCares i try to upgrade my account to premium version using phone credits as my paymemt method. My phone credit was cutted but my account wasn't got upgrade. Pls help. Thanks!,premium_subscription,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0144,Spotify removed like half of my music from my downloads and I’m so mad i never wanna listen to music ever again wow. @115888 fuck off.,content_unavailable,,AUTO_HANDLE,,unknown,False,,
g0145,@SpotifyCares I want to stop my monthly payments to you because I recently bought a car and I need to save my money for payments for that. Also I dislike how have I to air my problems this way.,billing_charge,,ESCALATE,,car,False,,
g0146,"Hey @SpotifyCares I'm having trouble loggin in with my facebook. It say that I don't have an account. 

Then when I try to sign up with FB I get that an account already exists. 

I can't submit a support ticket with you guys on your support form b/c I can't sign in. Help Please!",account_login,,AUTO_HANDLE,,unknown,False,,
