example_id,customer_message,human_intent,human_escalation,label_source,human_verified,auto_intent,auto_escalation,platform,has_escalation_signal,brand_response,agent_ts,convo_id,notes
g0022,So @115888 is a little broken at the moment but you can get our record on @115948 or @118721 too! https://t.co/eoWnHPpj9n,app_crash_bug,AUTO_HANDLE,human_reviewed,True,app_crash_bug,AUTO_HANDLE,unknown,False,,,,"User reports Spotify is temporarily broken; general app/service issue, with agent indicating known hiccup"
g0023,"@SpotifyCares Only 70% of my library was deleted this time so we're making progress, but it's still an issue. https://t.co/1ROB3b3f5E",offline_download,AUTO_HANDLE,human_reviewed,True,playlist_library,AUTO_HANDLE,unknown,False,,,,Large portion of downloaded library was deleted; matches downloads unexpectedly removed
g0024,@115888 no #Fridayonelmstreet tracks on rap cavier playlist? 🤦🏾‍♂️ it cant be all trash trap music.,playlist_library,AUTO_HANDLE,human_reviewed,True,playlist_library,AUTO_HANDLE,unknown,False,,,,Specific tracks missing from Rap Caviar playlist; playlist curation question
g0025,"@SpotifyCares Even remotely relate. Your alogrthims are either screwed, or you assume jazz/blues/folk is related to country. Insulting just thinking about it",playlist_library,AUTO_HANDLE,human_reviewed,True,content_unavailable,AUTO_HANDLE,unknown,False,,,,Complaint about genre classification and recommendation algorithm; curation/library feedback
g0026,"Hi, @115888 gentlemen it's been 2 weeks since the premiere of the #reputation and know, when will be put this magnificent art of music in its platform had understood that they were in denial with @118062 me as a premium user I have the right to know #Swifties",content_unavailable,AUTO_HANDLE,human_reviewed,True,premium_subscription,AUTO_HANDLE,unknown,False,,,,Asking when a specific album/release will become available on Spotify; catalog availability question
g0027,@115888 @SpotifyCares Can we get an update on this Spotiamb 0.2.1 thing that keeps taking over streams? It is really irritating to have your music pausing several times an hour. It’s also a little concerning that you guys don’t seem to have any input on this.,playback_error,AUTO_HANDLE,human_reviewed,True,playback_error,AUTO_HANDLE,unknown,False,,,,Streams repeatedly pause due to an identified app issue; standard troubleshooting/known-issue response
g0028,@SpotifyCares If I have a sub that ends in a month but i join my households fam plan do i still get charged for my last month of my previous subscription???,billing_charge,ESCALATE,human_reviewed,True,billing_charge,AUTO_HANDLE,unknown,False,,,,Question about being charged during subscription/family-plan transition; billing/account-specific handling
g0029,@117153 I have just paid for the premium but still gives me the free subscription,billing_charge,ESCALATE,human_reviewed,True,billing_charge,AUTO_HANDLE,unknown,False,,,,Premium was paid for but account still shows Free; payment/subscription mismatch requires investigation
g0030,"Over 10 ads in a row, really? @115888 that’s not the way to convince me to go premium.",premium_subscription,AUTO_HANDLE,human_reviewed,True,premium_subscription,AUTO_HANDLE,unknown,False,,,,Complaint about excessive ads and motivation to upgrade; general Free/Premium feedback
g0031,@SpotifyCares There's no problem now. Once I've crashed out of windows and rebooted it works OK. But I have had this happen 3 or 4 times always when starting up the desktop app.,app_crash_bug,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,windows,False,,,,Desktop app repeatedly crashes during startup but recovers after reboot; recurring app crash issue
g0032,@SpotifyCares how do I view the full featured artists instead of seeing the dots? When the song is playing it doesn’t even list the features https://t.co/cNkHFMl1KV,playlist_library,AUTO_HANDLE,human_reviewed,True,playback_error,AUTO_HANDLE,unknown,False,,,,Unable to view full list of featured artists; player/library interface inquiry
g0033,@SpotifyCares just sign up for the premium after Logging in seem is not can’t play any song like .,playback_error,AUTO_HANDLE,human_reviewed,True,premium_subscription,AUTO_HANDLE,unknown,False,,,,"After signing up for Premium, songs cannot be played; playback problem is the immediate blocker"
g0034,"@115888 I can't get spotify to play any songs. I was playing one, tried to skip it but then it just wouldn't play any songs at all.",playback_error,AUTO_HANDLE,human_reviewed,True,playback_error,AUTO_HANDLE,unknown,False,,,,Spotify stopped playing songs after skipping; clear playback failure
g0035,Someone hacked my Spotify account of 5+ years and replaced all my saved songs with Dutch grime and xxxtentacion songs...uhmmm help? @115888 @SpotifyCares,account_login,ESCALATE,human_reviewed,True,offline_download,ESCALATE,unknown,True,,,,Hacked account; unauthorized playlist changes
g0036,"@SpotifyCares pls help me, I just purchased premium, but the Behind Lyrics doesn't appear when I play one of the songs. I thought its because the device I have, Android. Bcs I logged in into iPhone, the Behind Lyrics appear. Thanks.",device_platform,AUTO_HANDLE,human_reviewed,True,premium_subscription,AUTO_HANDLE,android,False,,,,Behind Lyrics works on iPhone but not Android; device/platform availability issue
g0037,"@115940 @115888 @hulu_support I should also mention that after this bundle was first launched, my payment plan apparently shifted to a normal $10 fee. I'm not sure when or why this happened but I had to manually switch it.",billing_charge,ESCALATE,human_reviewed,True,billing_charge,ESCALATE,unknown,False,,,,Unexpected  payment-plan charge after student bundle; explicit billing/payment issue requiring account investigation
g0038,"@115888 @SpotifyCares MAJOR Question: There is a lot of talk online about the Snowy app for Apple Watches. Has there been any development on that app? I love Spotify, but this lack of offline music is turning away many of your regular users. Any updates?",device_platform,AUTO_HANDLE,human_reviewed,True,offline_download,AUTO_HANDLE,unknown,False,,,,Asking about Apple Watch app/offline support; platform-specific feature availability question
g0039,@SpotifyCares i recently got charged 3 times when i only agreed for 1 payment,billing_charge,ESCALATE,human_reviewed,True,billing_charge,AUTO_HANDLE,unknown,False,,,,Customer reports being charged three times for one payment; clear duplicate-charge financial dispute
g0040,"@SpotifyCares where's Bonzo goes to Bitburg by Ramones? In fact, the whole album, Animal boy, is not available. Wtf.",content_unavailable,AUTO_HANDLE,human_reviewed,True,content_unavailable,AUTO_HANDLE,unknown,False,,,,Ramones album unavailable in user country; content unavailable
g0041,Someone hacked my Spotify and deleted all of my playlists... why would you do that to a person,account_login,ESCALATE,human_reviewed,True,playlist_library,ESCALATE,unknown,True,,,,Hacked account; playlists deleted
g0042,Hello @SpotifyCares! My account has been hacked. Got an email telling me my email has changed and I can't log in anymore. I already messaged you earlier. Please look into it and reply asap! I want my spotify!!! Tnx,account_login,ESCALATE,human_reviewed,True,account_login,ESCALATE,unknown,True,,,,"Account explicitly hacked; email and login credentials were changed, so this is an account-security compromise"
g0043,@SpotifyCares I was charged for a subscription I wasn’t eligible for. It was the student membership.,billing_charge,ESCALATE,human_reviewed,True,billing_charge,AUTO_HANDLE,unknown,False,,,,Customer was charged for a student subscription they were not eligible for; disputed/incorrect charge requires billing investigation
g0044,"@SpotifyCares Hi there! I’ve been on the family plan but I have been charged an extra 10$ a month just for me. I cancelled my last plan, but it’s still charging. How can I fix this?",billing_charge,ESCALATE,human_reviewed,True,billing_charge,AUTO_HANDLE,unknown,False,,,,Customer is being repeatedly charged an extra  despite cancelling the previous plan; clear ongoing billing issue
g0045,@SpotifyCares foreign speakers are showing up on my list of Available Devices on my Android Phone. Looked into it (https://t.co/ZKYj4SRsNb) and seems a common hack people do though not clear how to fix it. Please help,account_login,ESCALATE,human_reviewed,True,device_platform,ESCALATE,android,True,,,,Suspected account compromise/unrecognized devices
g0046,@SpotifyCares Also the same thing that i get when i try to upload music,playlist_library,AUTO_HANDLE,human_reviewed,True,playback_error,AUTO_HANDLE,unknown,False,,,,Context is about uploading music and the customer reports the same issue; closest taxonomy fit is playlist/library or local music functionality
g0047,"@SpotifyCares Windows 10, Google Chrome.",device_platform,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,windows,False,,,,Windows 10 and Chrome are provided as troubleshooting environment details; no escalation risk
g0048,"@SpotifyCares hi! My Spotify app on my Galaxy S7 Edge always freezes when I reach a certain song, to the point that even restarting my phone does nothing. Can you help?",playback_error,AUTO_HANDLE,human_reviewed,True,playback_error,AUTO_HANDLE,unknown,False,,,,App freezing on specific song playback; playback error troubleshooting
g0049,@SpotifyCares is there a bug because everytime I play a video while I’m listening to Spotify it goes off like normal but when I close the video and Try to turn the music back on it says it’s playing but there won’t be any sound,playback_error,AUTO_HANDLE,human_reviewed,True,app_crash_bug,AUTO_HANDLE,unknown,False,,,,Music appears to play but produces no sound after returning from a video; clear playback/audio failure
g0050,"@SpotifyCares I need help resetting my password. I think someone hacked my account and changed it, but I was still able to log in through Facebook",account_login,ESCALATE,human_reviewed,True,account_login,ESCALATE,unknown,True,,,,Customer suspects account hack and password was changed; security/account compromise requires escalation
g0051,@3072  @115888  Android version on Pixel 2 XL. Update cuts off bottom bar titles. https://t.co/mEURnx0wiI,device_platform,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,android,False,,,,UI bottom bar titles cut off on Pixel 2 XL; device/platform UI issue
g0052,@SpotifyCares Hey there! Would love it if you could add my music to Acoustic Concentration or a similar playlist. Love getting my music onto new playlists.,playlist_library,AUTO_HANDLE,human_reviewed,True,playlist_library,AUTO_HANDLE,unknown,False,,,,Artist requesting submission to editorial playlist; playlist curation question
g0053,@SpotifyCares you guys charged me for a students account which I hadnt finished signing up. I cancelled and exoted the screen in the middle of me signing up and I STILL GOT CHARGED. EXPLAIN THIS. https://t.co/nHmMfDaM1D,billing_charge,ESCALATE,human_reviewed,True,billing_charge,AUTO_HANDLE,unknown,False,,,,Charged despite incomplete signup and cancellation; disputed charge/refund issue
g0054,@SpotifyCares We just switched over from apple music to spotify. We have a Premium Family account. I have tried to block explicit content (obviously we have young children - being a FAMILY account...) but can't seem to find a way to do it. Can you please help??,premium_subscription,AUTO_HANDLE,human_reviewed,True,premium_subscription,AUTO_HANDLE,unknown,False,,,,"Family Premium feature question about explicit-content filtering; informational/product guidance, no account risk"
g0055,@SpotifyCares iPhone 6 on 3 ...it’s only happened recently all my updates are done so I don’t understand why,device_platform,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,iphone,False,,,,iPhone 6 update context provided; device/platform troubleshooting
g0056,@115888 stop playing your suggested music in the middle of my playlists. I want to listen to my music not whatever you come up with. For everyone one song I have in my playlist I hear three reccomnended ones that I can’t skip bc I can’t afford premium. Sick of it,premium_subscription,AUTO_HANDLE,human_reviewed,True,premium_subscription,AUTO_HANDLE,unknown,False,,,,Complaint about Free-tier suggested tracks and inability to skip; primarily about Premium limitations
g0057,"@SpotifyCares Why show that my playlist has followers if I can't see who the followers are? Just remove the follower count, it doesn't matter and it makes it pointless. Obviously there's some common musical interests but there's no connect so doesn't matter.",playlist_library,AUTO_HANDLE,human_reviewed,True,playlist_library,AUTO_HANDLE,unknown,False,,,,Feedback about playlist follower visibility; playlist feature/product feedback
g0058,"Hey @SpotifyCares, I got this message. Uninstalled, re-downloaded and re-installed and it happened it again. https://t.co/RBRdDUf2qf",app_crash_bug,AUTO_HANDLE,human_reviewed,True,offline_download,AUTO_HANDLE,unknown,False,,,,"Issue persists after uninstall/reinstall and troubleshooting on Windows; software/app issue, but no security or financial risk"
g0059,How the heck do you listen to music when @115888 is down😫,playback_error,AUTO_HANDLE,human_reviewed,True,playback_error,AUTO_HANDLE,unknown,False,,,,Service outage preventing music playback; general playback outage
g0060,Seriously pissed off @115888 for blocking(suddenly) THE BEST song on @28787 live CD. WTF. #PremiumGetsYaNowhere,content_unavailable,AUTO_HANDLE,human_reviewed,True,playback_error,AUTO_HANDLE,unknown,False,,,,Song suddenly blocked/removed due to licensing; content unavailable
g0061,"@SpotifyCares iPhone 8plus, iOS 11.1.2, 8.4.28.1104",device_platform,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,iphone,False,,,,iPhone and iOS version information provided; device/platform context
g0062,"@SpotifyCares So yeah, your app. I’m just intrigued as to wether I could be getting an even better sound as the @137949 speaker is the absolute bollocks 🙏🏼",device_platform,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,speaker,False,,,,Audio quality settings question with external speaker; device/platform audio settings
g0063,@SpotifyCares hello. My app won't connect to Sonos. Tried reauthorizing the account and reinstalling the app.,device_platform,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,sonos,False,,,,Spotify cannot connect to Sonos despite reauthorization/reinstall; device/platform integration issue
g0064,@SpotifyCares Yo I appreciate it. This is a recommendation of a push notification feature for playlist updates.,playlist_library,AUTO_HANDLE,human_reviewed,True,playlist_library,AUTO_HANDLE,unknown,False,,,,Feature suggestion for push notifications on playlist updates; playlist feature feedback
g0065,@SpotifyCares Hi. Signed up for family account. My girlfriend has signed up too. But only has option for 7 days free premium. Have we registered wrong?,premium_subscription,ESCALATE,human_reviewed,True,premium_subscription,AUTO_HANDLE,unknown,False,,,,Family-plan member is incorrectly seeing only a 7-day Premium trial; account-specific subscription eligibility/setup needs investigation
g0066,"ok @115888 20 msgs, 10 customer serv reps, 6 weeks later, you still havent taken care of my hacked account nor successfully transfer my hacked account to my new account like you promised, includ. my Premium membership. You’d think you’d want to take my money at the very least",account_login,ESCALATE,human_reviewed,True,billing_charge,ESCALATE,unknown,True,,,,Explicit hacked-account case with failed account transfer and unresolved Premium access; security/account compromise requires escalation
g0067,"@SpotifyCares Logged into my account after a couple years, my password, email, area code, country, have all been changed and are linked to my facebook account. I looked at the support page but all lead back to email or password which I have access to neither now. Help please, ty.",account_login,ESCALATE,human_reviewed,True,account_login,AUTO_HANDLE,unknown,False,,,,"Password, email, country and other account details were changed and user cannot access the account; clear account compromise"
g0068,"Bye @115888 , you can’t even process my payment 😫 @115948 sorry it took me long to come to my senses",billing_charge,ESCALATE,human_reviewed,True,billing_charge,AUTO_HANDLE,unknown,False,,,,Payment cannot be processed and requires account/payment investigation; customer is unable to complete payment
g0069,"@SpotifyCares Like I say, my speaker is visible, but when I click on it, the app just goes back to the song screen and doesn't switch to the speaker... https://t.co/7k5oCPmc45",device_platform,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,speaker,False,,,,Speaker is visible but Spotify cannot switch playback to it; device/platform connection issue
g0070,@SpotifyCares some of my songs in my library are not playing at all!!!,playback_error,AUTO_HANDLE,human_reviewed,True,playlist_library,AUTO_HANDLE,unknown,False,,,,Songs in library failing to play; playback failure
g0071,@SpotifyCares Will Spotify ever get two factor authentication. I had my account hacked today and I'd rather have something stronger than just changing the password.,account_login,ESCALATE,human_reviewed,True,account_login,ESCALATE,unknown,True,,,,Customer reports account was hacked and asks about stronger account security; active security concern requires escalation
g0072,"@SpotifyCares i’m using windows 7 on desktop, and everytime i try to open the program is gives me this, which only started happening 2 days ago. i do reinstall it like it says but i have to reinstall everytime i want to turn on my computer https://t.co/A4DSWkXDOR",app_crash_bug,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,windows,False,,,,Desktop Spotify repeatedly fails at startup and requires reinstall each time; recurring application bug
g0073,@SpotifyCares @118266 I'm using older version of spotify 8.4.226.770 on Android 4.4.2 and latest version of spotify 8.4.28.875 on Android 7.1.2 please help!,device_platform,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,android,False,,,,Customer provides Android versions and Spotify versions for device troubleshooting; platform/version compatibility context
g0074,"@115888 i watched the video 174892 times, when do i get my 30 minutes of ad free music?",premium_subscription,AUTO_HANDLE,human_reviewed,True,playback_error,AUTO_HANDLE,unknown,False,,,,Video ad watched but 30 minutes ad-free not granted; ad-supported Free tier feature
g0075,@SpotifyCares it is necessary to clear the cache,app_crash_bug,AUTO_HANDLE,human_reviewed,True,offline_download,AUTO_HANDLE,unknown,False,,,,"Cache-clearing question/feedback relates to app troubleshooting; no account, billing, or security risk"
g0076,"@115888 @SpotifyCares @112775 - Hi, any chance of Agony and Irony being added onto the library? Thank you :)",content_unavailable,AUTO_HANDLE,human_reviewed,True,playlist_library,AUTO_HANDLE,unknown,False,,,,Customer asks whether specific music will be added to Spotify; catalog/content availability question
g0077,"Any Spotify artists know how to find out what @115888 playlists their music's being featured on? 🙏🏾 25% of my plays are comin from Spotify playlist but I can tell which ones! 😨
#StayWavy 🌊🏄🏽",playlist_library,AUTO_HANDLE,human_reviewed,True,playlist_library,AUTO_HANDLE,unknown,False,,,,Artist asks which Spotify playlists feature their music; playlist-related informational question
g0078,"Got a new phone and Spotify won’t let me log in using my email or with Facebook! Please help, @SpotifyCares @115888 @117168",account_login,AUTO_HANDLE,human_reviewed,True,account_login,AUTO_HANDLE,unknown,False,,,,Cannot log in after getting a new phone; standard login troubleshooting with no security indication
g0079,@115888 Not true. I downloaded Spotify and theres no free songs to download. Just to let u know,offline_download,AUTO_HANDLE,human_reviewed,True,offline_download,AUTO_HANDLE,unknown,False,,,,Customer expects free Spotify to support downloading songs; informational question about offline downloads and subscription limits
g0080,"@SpotifyCares tried to buy a premium gift card but after I entered the e-delivery details and hit continue, the page just refreshed w/o taking me to a payment page. Help?",billing_charge,AUTO_HANDLE,human_reviewed,True,billing_charge,AUTO_HANDLE,unknown,False,,,,Gift card purchase failed to load checkout page; browser troubleshooting
g0081,@115888 I don’t pay every month so you can restrict my music listening. Am I supposed to bring my Mac in the car for music? Nah fam. Get mobile Spotify working again. https://t.co/E3kJlTxeYw,playback_error,AUTO_HANDLE,human_reviewed,True,playlist_library,AUTO_HANDLE,mac,False,,,,Music listening is being restricted/stopping; billing is secondary
g0082,"@115888 Anytime I log into my account on a tablet it says I have a free account, but on my phone/computer it's premium. How do I fix this?!",premium_subscription,ESCALATE,human_reviewed,True,premium_subscription,AUTO_HANDLE,unknown,False,,,,Tablet shows Free status while other devices show Premium; subscription synchronization requires account investigation
g0083,"@115888 your app just offered me a year of premium for $99. Clicking the link brings me this page that repeats the offer, but gives no way to buy. Help? https://t.co/Xh0kg167jJ",premium_subscription,AUTO_HANDLE,human_reviewed,True,premium_subscription,AUTO_HANDLE,unknown,False,,,,Annual Premium promotional offer link not working; guidance with alternate link
g0084,"@SpotifyCares Hey, Add ""Miss You"" by @3212 on ""Today's Top Hits"" playlist! @115888",playlist_library,AUTO_HANDLE,human_reviewed,True,playlist_library,AUTO_HANDLE,unknown,False,,,,Track addition request for Today's Top Hits playlist; playlist curation request
g0085,@SpotifyCares someone has hacked my spotify account. I refuse to pay for someone else to listen to music. It is very unprofessional that you do not provide a contact number. I had to make a Twitter account just to complain. Please contact me immediately and fix the problem.,account_login,ESCALATE,human_reviewed,True,playback_error,ESCALATE,unknown,True,,,,Hacked account; possible unauthorized subscription usage
g0086,"@SpotifyCares It’s iOS, iPhone 6s. v8.4.28.1104. I’m sure it’s working as intended but just a comment about how the queue works :)",playlist_library,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,ios,False,,,,Queue behavior feedback
g0087,@115888 why is it that when I click to watch the ad to get 30 minutes of ad-free music do I only get 18 and a half? Your ads tell me that I will get 30 minutes. If thats not the case then advertise for 18 and a half minutes of ad-free music instead of 30,premium_subscription,AUTO_HANDLE,human_reviewed,True,playback_error,AUTO_HANDLE,unknown,False,,,,Complaint about ad-supported 30-minute ad-free benefit
g0088,"@SpotifyCares I can't seem to delete a playlist, and it's not available either? But it won't go from my playlists bar...",playlist_library,AUTO_HANDLE,human_reviewed,True,content_unavailable,AUTO_HANDLE,unknown,False,,,,Unable to delete playlist from client; library management troubleshooting
g0089,@115888 any progress on getting @19106 velvet album back? I sure am missing listening to that album. There are also one or two songs from various other artists that are unavailable as well. What’s the deal?,content_unavailable,AUTO_HANDLE,human_reviewed,True,content_unavailable,AUTO_HANDLE,unknown,False,,,,Inquiring about missing artist album and licensing availability; catalog availability limitation
g0090,"@SpotifyCares Getting error message ""Can't play song"" for everything. Tried all the step in the troubleshooting website. Any advice?",playback_error,AUTO_HANDLE,human_reviewed,True,app_crash_bug,AUTO_HANDLE,unknown,False,,,,Can't play song error across entire library; playback failure
g0091,@SpotifyCares I can't find that option. I've checked and my Sonos app is up to date. I've removed and then re authorised Spotify as a music service. All no joy.,device_platform,AUTO_HANDLE,human_reviewed,True,content_unavailable,AUTO_HANDLE,sonos,False,,,,Sonos connection/control issue after troubleshooting; device/platform integration problem
g0092,"@SpotifyCares Galaxy note 5-android, hp spectre x360-windows, and spotify versions are up to date on both",device_platform,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,android,False,,,,Device models and OS provided for playback troubleshooting; device/platform context
g0093,@SpotifyCares When using connect with TV it always gets out of sync. It’s actually playing song 2 on playlist but tv and computer both show playing song 3 https://t.co/awwoKWGgrS,device_platform,AUTO_HANDLE,human_reviewed,True,playlist_library,AUTO_HANDLE,tv,False,,,,Spotify Connect with TV is out of sync across devices; device/platform synchronization issue
g0094,@SpotifyCares When i hit the play button nothing happens at all. It stopped in the middle of a song.,playback_error,AUTO_HANDLE,human_reviewed,True,playback_error,AUTO_HANDLE,unknown,False,,,,Play button unresponsive and song stopped mid-track; playback failure
g0095,"@SpotifyCares No it did nothing 😥 I also tried uninstalling, wiping the cache of the phone and reinstalling but it still crashes",app_crash_bug,ESCALATE,human_reviewed,True,offline_download,AUTO_HANDLE,unknown,False,,,,Persistent crash despite reinstall/cache clearing; support requests account investigation
g0096,"@SpotifyCares Nope, doesn’t work 😔 I’m able to log on with my Facebook, but after that it just gives the same error.",account_login,AUTO_HANDLE,human_reviewed,True,app_crash_bug,AUTO_HANDLE,unknown,False,,,,Facebook login succeeds but same account error persists; login/authentication troubleshooting
g0097,"@SpotifyCares I mean, yeah, it usually does. The problem is that I'm trying to listen to a continuous playlist or album uninterrupted. It fixes the error but doesn't solve the problem.",playback_error,AUTO_HANDLE,human_reviewed,True,app_crash_bug,AUTO_HANDLE,unknown,False,,,,Tracks/playlist playback interrupted
g0098,"@SpotifyCares Just checked, worked straight away on my daughter's iPhone using linked family Spotify account.",device_platform,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,iphone,False,,,,Playback working on daughter's device but not user's; device/platform troubleshooting
g0099,"@SpotifyCares I think my account has been hacked, someone keeps playing music using Spotiamb 0.2.1 as a device - what do I do to resolve?",account_login,ESCALATE,human_reviewed,True,playback_error,ESCALATE,unknown,True,,,,Suspected hacked account and unauthorized device playback
g0100,@115888 would you like to explain how Portuguese opera music is related to my favorite British pop band? @15790 https://t.co/C73hfCXzWO,playlist_library,AUTO_HANDLE,human_reviewed,True,playback_error,AUTO_HANDLE,unknown,False,,,,Complaint about unrelated songs in recommendation/radio; recommendation/library feedback
