example_id,customer_message,generated_response,human_groundedness,human_relevance,human_helpfulness,human_overall,human_notes
g0068,"Bye @115888 , you can’t even process my payment 😫 @115948 sorry it took me long to come to my senses","Hey Leopold, we're here to help. Can you DM us your account's email address? We'll check backstage /AC https://t.co/ldFdZRiNAt",,,,,
g0071,@SpotifyCares Will Spotify ever get two factor authentication. I had my account hacked today and I'd rather have something stronger than just changing the password.,We understand this is urgent. Please DM us with your account details and a specialist will assist you right away. /SC,,,,,
g0072,"@SpotifyCares i’m using windows 7 on desktop, and everytime i try to open the program is gives me this, which only started happening 2 days ago. i do reinstall it like it says but i have to reinstall everytime i want to turn on my computer https://t.co/A4DSWkXDOR",Hi! Try disconnecting and reconnecting the device in Spotify Settings > Devices. /SC,,,,,
g0076,"@115888 @SpotifyCares @112775 - Hi, any chance of Agony and Irony being added onto the library? Thank you :)",Hi! Try logging out and back in to resync your library. /SC,,,,,
g0087,@115888 why is it that when I click to watch the ad to get 30 minutes of ad-free music do I only get 18 and a half? Your ads tell me that I will get 30 minutes. If thats not the case then advertise for 18 and a half minutes of ad-free music instead of 30,"Hey Sara, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /SY",,,,,
g0088,"@SpotifyCares I can't seem to delete a playlist, and it's not available either? But it won't go from my playlists bar...",Hi! Try logging out and back in to resync your library. /SC,,,,,
g0089,@115888 any progress on getting @19106 velvet album back? I sure am missing listening to that album. There are also one or two songs from various other artists that are unavailable as well. What’s the deal?,Hi! Some content isn't available in all regions due to licensing. /SC,,,,,
g0092,"@SpotifyCares Galaxy note 5-android, hp spectre x360-windows, and spotify versions are up to date on both",Hi! Try disconnecting and reconnecting the device in Spotify Settings > Devices. /SC,,,,,
g0093,@SpotifyCares When using connect with TV it always gets out of sync. It’s actually playing song 2 on playlist but tv and computer both show playing song 3 https://t.co/awwoKWGgrS,Hi! Try logging out and back in to resync your library. /SC,,,,,
g0097,"@SpotifyCares I mean, yeah, it usually does. The problem is that I'm trying to listen to a continuous playlist or album uninterrupted. It fixes the error but doesn't solve the problem.","Hi! Force-close Spotify and reopen it. If it keeps crashing, try reinstalling. /SC",,,,,
g0098,"@SpotifyCares Just checked, worked straight away on my daughter's iPhone using linked family Spotify account.",Got it! Could you check if the same thing happen while using the desktop app? /PL,,,,,
g0108,@SpotifyCares I’m a premium acct and I got a message saying I need to update CC info but no where to do it in app or contact help. Please help.,Hi! Check your subscription status at spotify.com/account. /SC,,,,,
g0109,@117153 I've been paying $14.99 per month several months for what?? I can't access premium or downloads. I demand full refund since subscription commenced.,Sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this /RC,,,,,
g0115,hello my spotify problem still hasnt fixed and i realized it was bc of my country in apple id since its on korea 😩 so i had to cancel my applemusic subscription as well BUT FUCKING BITCH IT WASNT CANCELLED I STILL HAVE TO WAIT FOR FEW WEEKS TO CANCEL MY MEMBERSHIP IM MAD,"Hey Leopold, we're here to help. Can you DM us your account's email address? We'll check backstage /AC https://t.co/ldFdZRiNAt",,,,,
g0118,"@115888 pls stop recommending me country music, Niall's album is folk-pop, there's a difference. 😭","Hi! Thanks for your feedback - we'll pass it on. For now, check out https://t.co/zgnxs5kPEu if you haven't had a subscription before /PL",,,,,
g0130,@SpotifyCares I got locked out of my account because of a paypal issue. Help! I need my music!,Hi! Try resetting your password at spotify.com/password-reset. Clear app data and retry. /SC,,,,,
g0138,"@SpotifyCares hey so a while back i tweeted about Spotify premium not transferring over local files to my iPhone SO I changed the WiFi I was using on both devices, uninstalled on both, logged out on both etc. But still not working???","Hi! Force-close Spotify and reopen it. If it keeps crashing, try reinstalling. /SC",,,,,
g0140,@SpotifyCares I wanted you to know that I don’t pay for music.,"Hi! Try restarting Spotify and checking your connection. If it keeps happening, reinstall the app. /SC",,,,,
g0142,@118266 @118266 berarti premium punya saya sampai tanggal 26 Februari kan yaa?,Hi! Check your subscription status at spotify.com/account. /SC,,,,,
g0144,Spotify removed like half of my music from my downloads and I’m so mad i never wanna listen to music ever again wow. @115888 fuck off.,Hi! Try logging out and back in to resync your library. /SC,,,,,
g0151,@SpotifyCares are you guys going to fix the notoriously bad Roku TV app? It is literally unusable.,Hi! Try disconnecting and reconnecting the device in Spotify Settings > Devices. /SC,,,,,
g0152,"@SpotifyCares I got an email for a $99/year offer, but when I tried to sign up it tells me I'm not eligible, but that I can upgrade my account to premium (which it already is) at any time and redirects me to a family plan sign up page.","Hey Lianne, help's here! Could you DM us your account's username/email address? We'll check behind the scenes /RE https://t.co/ldFdZRiNAt",,,,,
g0153,@SpotifyCares I have my phone but it isn't ideal when listening to music at home. My fancy but ancient speakers don't work with it. Also I used to like if I had people round we could all add to the play queue. Phone isn't the same,"Hi! Try restarting Spotify and checking your connection. If it keeps happening, reinstall the app. /SC",,,,,
g0155,"@115888 why'd I get charged twice this month, once for normal 10 second for 15",We understand this is urgent. Please DM us with your account details and a specialist will assist you right away. /SC,,,,,
g0164,@115888 for iPhone X needs an update. Car Bluetooth isn’t always sending song data and controls don’t work.,Hi! Try disconnecting and reconnecting the device in Spotify Settings > Devices. /SC,,,,,
g0167,@SpotifyCares hi I bought family premium. I have Spotify on my phone but my son's play store says it's not available in his country yet we live in the same house let alone country,"Hey Scotty, what platform/device are you using the app on? Give a reinstall a go: http://t.co/XlUAjB8pdg /C",,,,,
g0169,@SpotifyCares hi can you explain why my username is always random numbers and letters when i sign up,Hi! Try resetting your password at spotify.com/password-reset. Clear app data and retry. /SC,,,,,
g0174,@SpotifyCares Sonos Play:1,Hi! Try disconnecting and reconnecting the device in Spotify Settings > Devices. /SC,,,,,
g0182,@SpotifyCares Sorry. Today's problem was with Google Play Music. I was just comparing the experience to what you guys did to me a few years ago.,Sorry to hear about this. Can you try connecting to a different network? Give us a shout on how it pans out /PL,,,,,
g0183,@SpotifyCares how would I go about recovering a stolen premium account?,We understand this is urgent. Please DM us with your account details and a specialist will assist you right away. /SC,,,,,
g0186,"@SpotifyCares I have troubles saving data to SD card on android. Reinstalling, changing settings, remounting, clearing cache ... nothing works. There is quite a lot of people with the same issue. Do you have any solutions to this?","Hi! Toggle offline mode off then on, and re-download your tracks. /SC",,,,,
g0189,anybody else having an issue getting @115888 to connect to a @118117 at all? Won't play through the Spotify app or Sonos controller?!,Hi! Try disconnecting and reconnecting the device in Spotify Settings > Devices. /SC,,,,,
g0190,@SpotifyCares Not really I actually think over all the app is shit. There’s not enough options. You can’t skip the songs you want without paying 9.99 a month which is disgusting.... frankly it’s not worth the space on my phone.... waste of time and money.,Hey Chris! That's not cool. Can you tell us when this started happening? Was it after an app update? We'll see what we can suggest /CH,,,,,
g0191,"@SpotifyCares Hello, i have a probelm with sign up in application ""iphone"" ;)",Hi! Try disconnecting and reconnecting the device in Spotify Settings > Devices. /SC,,,,,
g0192,"@SpotifyCares hey, I pay for spotify premium and every other week, sometimes twice a week all my music undownloads.",Hi! Check your subscription status at spotify.com/account. /SC,,,,,
g0198,@spotifycares please contact me because someone is using my credit card number through fraud and I have no spotify account but there are monthly charges on my statement. I don't want to create a spotify acct and confuse this issue. Card is cancelled but I need charges to stop too,We understand this is urgent. Please DM us with your account details and a specialist will assist you right away. /SC,,,,,
