id,customer_message,conversation_context,proposed_intent,human_intent,proposed_escalation,human_escalation,notes
g0153,@SpotifyCares I have my phone but it isn't ideal when listening to music at home. My fancy but ancient speakers don't work with it. Also I used to like if I had people round we could all add to the play queue. Phone isn't the same,"@230511 No worries! We hear you, and we'll pass your feedback on to our devs. For now, check out the official idea and add your comments here: https://t.co/4uPO8p8vHi. Any other questions, we're just a tweet away /JE",playlist_library,device_platform,AUTO_HANDLE,AUTO_HANDLE,Speaker/device compatibility and queue feature feedback
g0154,@SpotifyCares hi Spotify you've sent this link in an email to me to contact you so I'd thought I'd drop you a line. My premium account has been hacked and your customer service is nothing short of atrocious. I hope your night is going better than mine.,@786200 Hi Jason! We’re sorry to hear that. We'd suggest checking out https://t.co/QHn3ok8y2n for what to do next /DD,account_login,account_login,ESCALATE,ESCALATE,Premium account hacked; clear account compromise/security issue
g0158,"@115888 can’t pay because my visa was stolen and doesn’t work, having new sent to Thailand but now trapped in Bali due to volcano pls don’t cancel my premium 😭😭 blame the volcano and thieves",@796968 Hey there! We'd like to discuss your account in Private. Could you DM us your account's email address? We'll check backstage /GK https://t.co/ldFdZRiNAt,billing_charge,billing_charge,ESCALATE,ESCALATE,Payment method stolen/unavailable and premium payment issue requires private account handling
g0162,"Ok so that’s twice in the last week my library has deleted itself for no apparent reason, what’s going on pls @115888","@794172 Hey Ben, help's here! Could you DM us with your account's username and email address? We'll take a look backstage /TB",billing_charge,playlist_library,AUTO_HANDLE,ESCALATE,Library repeatedly deleted itself; recurring data loss and agent requests account details for investigation
g0172,@115888 App won't load on my Galaxy S8+. Bit naughty considering I pay for premium.,@795213 Hey there! Could you try uninstalling and reinstalling the app? Let us know how it goes /DF,billing_charge,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,App will not load on Galaxy S8+; standard troubleshooting is appropriate
g0192,"@SpotifyCares hey, I pay for spotify premium and every other week, sometimes twice a week all my music undownloads.","@181409 Hey there, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/EidIERWgLX. They should help with this /CG",billing_charge,offline_download,AUTO_HANDLE,AUTO_HANDLE,Downloaded music repeatedly disappears; matches downloads unexpectedly removed
g0193,"@SpotifyCares Why is my account suddenly paused  just a few days after i redeemed 3 months gift card? I can even see in my account details i redeemed that card, very convenient if you want to play music for your guests","@253497 Hi there, that doesn't sound good! Can you DM us your account's email address? We'll check under the hood /AK https://t.co/ldFdZRiNAt",premium_subscription,premium_subscription,AUTO_HANDLE,ESCALATE,Premium account unexpectedly paused after gift-card redemption; account-specific subscription investigation required
g0197,@SpotifyCares Sorry I meant more if I have music in my collection that’s not in yours. I know a few other services let you add it to the cloud to stream.,@189197 Got it. You can add them as local files by following the steps here: https://t.co/SgMwFS1ONz. We'll be right here if you have any other questions 👍 /DB,playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,Asking about adding personal music/local files; informational feature question
g0003,"@SpotifyCares cant login, says country code doesnt match account. But its the same. In Canada,",@466176 Hey Frank! Help's here. Can you DM us your account's email address? We'll take a look backstage /MG https://t.co/ldFdZRiNAt,account_login,account_login,AUTO_HANDLE,ESCALATE,Cannot log in due to country-code/account mismatch; account-specific details are requested via DM
g0028,@SpotifyCares If I have a sub that ends in a month but i join my households fam plan do i still get charged for my last month of my previous subscription???,@223162 Hi there! Can you DM us your account's username and email address? We'll check it out and see what we can suggest /WW https://t.co/ldFdZRiNAt,billing_charge,billing_charge,ESCALATE,ESCALATE,Question about being charged during subscription/family-plan transition; billing/account-specific handling
g0037,"@115940 @115888 @hulu_support I should also mention that after this bundle was first launched, my payment plan apparently shifted to a normal $10 fee. I'm not sure when or why this happened but I had to manually switch it.","[Prior Context]: @115940 @115888 @hulu_support Upon getting the student bundle, I have not been able to use Hulu at all or connect it via spotify. These are the messages I get. When I go to my Hulu  account it still thinks I'm not connected. Whats going on? https://t.co/GrNRi64s20 | [Agent Reply]: @809285 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt",billing_charge,billing_charge,AUTO_HANDLE,ESCALATE,Unexpected  payment-plan charge after student bundle; explicit billing/payment issue requiring account investigation
g0053,@SpotifyCares you guys charged me for a students account which I hadnt finished signing up. I cancelled and exoted the screen in the middle of me signing up and I STILL GOT CHARGED. EXPLAIN THIS. https://t.co/nHmMfDaM1D,"@812748 Hi there. We suggest deleting your public post as it contains private info. We've sent a bit more info via DM. If you could check your inbox, that'd be great /AY",billing_charge,billing_charge,ESCALATE,ESCALATE,Charged despite incomplete signup and cancellation; disputed charge/refund issue
g0109,@117153 I've been paying $14.99 per month several months for what?? I can't access premium or downloads. I demand full refund since subscription commenced.,"[Prior Context]: All clear! Everything’s looking good again. Enjoy the tunes. | [Agent Reply]: @234229 Hey, that's not cool! Can you shoot us a DM with your account's username and email address? We'll check things out /DI https://t.co/ldFdZRiNAt",billing_charge,billing_charge,ESCALATE,ESCALATE,Paying for Premium without access and demanding a full refund; financial dispute
g0112,@115888 Can you please update us on how long these problems will take to fix? I still can't log in due to them :/,@137386 Hey! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /NQ,account_login,account_login,AUTO_HANDLE,AUTO_HANDLE,Login problem and request for status/update; no security or financial risk indicated
g0145,@SpotifyCares I want to stop my monthly payments to you because I recently bought a car and I need to save my money for payments for that. Also I dislike how have I to air my problems this way.,"@818862 Hi Juliana, help's on the way! Could you DM us your email and username? We'll get things taken care of /JQ https://t.co/ldFdZRiNAt",billing_charge,billing_charge,AUTO_HANDLE,AUTO_HANDLE,Wants to stop monthly payments/cancel subscription; routine cancellation request
g0165,"@SpotifyCares When I try to login to my account on a Desktop PC, it tells me I don't have an account linked to my Facebook profile. Then when I try to reset my password, it tells me to sign in with Facebook?",@796173 Hey Eric! Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt,account_login,account_login,AUTO_HANDLE,AUTO_HANDLE,Facebook-linked login/password-reset problem; standard account-login troubleshooting
g0188,@SpotifyCares I updated my subscription and credit card got charged but my premium subscription still paused. can you help?,@777594 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,billing_charge,billing_charge,AUTO_HANDLE,ESCALATE,Card charged but Premium remains paused; payment completed but subscription state is incorrect and needs account investigation
g0190,@SpotifyCares Not really I actually think over all the app is shit. There’s not enough options. You can’t skip the songs you want without paying 9.99 a month which is disgusting.... frankly it’s not worth the space on my phone.... waste of time and money.,@236078 We hear you loud and clear! We can’t make any promises but we’ll pass your feedback onto the right folk /CG,billing_charge,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,"Complaint about Free/Premium limitations and pricing; general product feedback, not a specific billing dispute"
g0010,"My first full month of @115888 premium and all my downloaded music has gone.

You're not selling this well so far.","@811289 Hey Kevin, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/EidIERWgLX. They should help with this /PL",premium_subscription,offline_download,AUTO_HANDLE,AUTO_HANDLE,Downloaded music disappeared; directly matches downloads unexpectedly removed
g0011,.@SpotifyCares Please could you help? None of my music will play and it’s set to “offline” I listen to my music on the go all the time and have never had this problem. It’s just stopped becoming available. Has my music just...un-downloaded itself? 😞,"@800445 Hey Kaysha, sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this. Let us know if there's anything else /AY",offline_download,offline_download,AUTO_HANDLE,AUTO_HANDLE,Offline music became unavailable/possibly undownloaded; matches download-removal troubleshooting
g0036,"@SpotifyCares pls help me, I just purchased premium, but the Behind Lyrics doesn't appear when I play one of the songs. I thought its because the device I have, Android. Bcs I logged in into iPhone, the Behind Lyrics appear. Thanks.","@132495 Hey, sorry for the confusion! We're afraid Behind the Lyrics is only available for iPhone 5 or above at this time. If you need anything else, give us a shout /TR",premium_subscription,device_platform,AUTO_HANDLE,AUTO_HANDLE,Behind Lyrics works on iPhone but not Android; device/platform availability issue
g0054,@SpotifyCares We just switched over from apple music to spotify. We have a Premium Family account. I have tried to block explicit content (obviously we have young children - being a FAMILY account...) but can't seem to find a way to do it. Can you please help??,"@808050 Hey Trish, we hear you! There isn't currently a explicit music filter. To help make it happen, we’d recommend showing your support for the idea here: https://t.co/CdI1SY9KZE. Give us a shout if you need anything else, we'll get back to you in a beat 🥁 /ZO",premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,"Family Premium feature question about explicit-content filtering; informational/product guidance, no account risk"
g0056,@115888 stop playing your suggested music in the middle of my playlists. I want to listen to my music not whatever you come up with. For everyone one song I have in my playlist I hear three reccomnended ones that I can’t skip bc I can’t afford premium. Sick of it,"@801527 Hey Lauren! To reduce the number of Suggested Tracks you get, try adding more artists into your playlists. This should do the trick /MX",premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,Complaint about Free-tier suggested tracks and inability to skip; primarily about Premium limitations
g0066,"ok @115888 20 msgs, 10 customer serv reps, 6 weeks later, you still havent taken care of my hacked account nor successfully transfer my hacked account to my new account like you promised, includ. my Premium membership. You’d think you’d want to take my money at the very least","@126139 Hey Jessie! Don't worry, our Accounts team is currently looking into your case. If there's anything at all that we can help with, just send us a DM. We'll see what we can do /KT",billing_charge,account_login,ESCALATE,ESCALATE,Explicit hacked-account case with failed account transfer and unresolved Premium access; security/account compromise requires escalation
g0091,@SpotifyCares I can't find that option. I've checked and my Sonos app is up to date. I've removed and then re authorised Spotify as a music service. All no joy.,"@135361 Just to check, have you tried using a different device to control your Sonos speaker? Did the same issue happen? /NG",content_unavailable,device_platform,AUTO_HANDLE,AUTO_HANDLE,Sonos connection/control issue after troubleshooting; device/platform integration problem
g0093,@SpotifyCares When using connect with TV it always gets out of sync. It’s actually playing song 2 on playlist but tv and computer both show playing song 3 https://t.co/awwoKWGgrS,"@19263 Hi Talia, help's here! What app version is your MacBook Air running? Does this happen when any other devices are connecting to the TV? /T",playlist_library,device_platform,AUTO_HANDLE,AUTO_HANDLE,Spotify Connect with TV is out of sync across devices; device/platform synchronization issue
g0103,@115888 my music is taking 3+ minutes to download one song. I have 900. Help!,"@797217 Hey Regan, help's here! Just to check, is this happening over 3G/4G, WiFi, or both? /CH",offline_download,offline_download,AUTO_HANDLE,AUTO_HANDLE,Songs are taking several minutes to download; download performance/troubleshooting issue
g0130,@SpotifyCares I got locked out of my account because of a paypal issue. Help! I need my music!,"@252235 Hey, we’re sorry to hear that. Check out https://t.co/xRolkgjYXe for what to do next /NQ",account_login,account_login,AUTO_HANDLE,ESCALATE,Account locked due to payment-provider issue; access is blocked and account-specific investigation is required
g0144,Spotify removed like half of my music from my downloads and I’m so mad i never wanna listen to music ever again wow. @115888 fuck off.,"@226967 Hey, help's here! Check out the steps under “Downloads unexpectedly removed” at https://t.co/EidIERWgLX. They should help with this /PK",content_unavailable,offline_download,AUTO_HANDLE,AUTO_HANDLE,Downloaded music disappeared; directly matches downloads unexpectedly removed
g0167,@SpotifyCares hi I bought family premium. I have Spotify on my phone but my son's play store says it's not available in his country yet we live in the same house let alone country,"@250952 We're afraid paying earlier than your renewal date isn't possible. No worries, you can suggest it in our Community where you can get support from other fans: https://t.co/D6JsbrPT3P. On another note, can you check if your son's Play Store has the right country settings? /XF",premium_subscription,device_platform,AUTO_HANDLE,AUTO_HANDLE,Spotify availability differs between devices/country settings; Play Store/device compatibility issue
g0168,"@SpotifyCares Hey guys! I have a query relating to a release date bug on the latest macOS client. Everything updated, fresh install. Has been persisting for about a month. Shows the correct year on artist page but then one year off on album page. See pics for details. TIA :) https://t.co/QYPvIJxCqT","@256475 Thanks for reporting. Everything should be running smoothly now. Can you log out then reinstall the app? Then, try to open https://t.co/nZ3VvqkZIv. Give us an update! /MS",app_crash_bug,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,Persistent macOS client release-date display bug; software bug with standard troubleshooting
g0181,@SpotifyCares Please fix the issue where offline music is randomly deleted. It's a big problem whilst travelling.,"@803339 Hey, that's not cool! Can you DM us your account's username or email address? We'll see what's happening backstage /JM https://t.co/ldFdZRiNAt",offline_download,offline_download,AUTO_HANDLE,AUTO_HANDLE,Offline music randomly deleted; matches downloads unexpectedly removed
g0195,"@SpotifyCares I can't select my #Sonos speaker (Office) in the ""Devices Available"" menu and can't play #Spotify to it anymore since Sonos removed Spotify from their music services menu. What do I do?
[MacOS 10.11.6, Spotify 1.0.68.407.g6864aaaf Sonos 8.2.1] https://t.co/ed73b93LfE","@794904 Hey, the cavalry's here! Could you head over to your account's Approved applications at https://t.co/PORH7knOMj and check if Sonos is on the list? If so, try tapping “Revoke Access”. Then, approve access for Sonos again. Let us know if that makes any difference /JZ",content_unavailable,device_platform,AUTO_HANDLE,AUTO_HANDLE,Sonos speaker cannot connect/use Spotify after service-menu change; device/platform integration issue
g0016,@SpotifyCares I was listening to a particular mix already established and then all of a sudden it disappeared. Super frustrating.,"@795909 Sorry to hear this. Currently, there’s no way to retrieve previous mixes. Be sure to save your favorite tracks. If there's anything else that we can help you with, just give us a shout /CH",playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,Previously established mix disappeared; playlist/library content issue with known product limitation
g0022,So @115888 is a little broken at the moment but you can get our record on @115948 or @118721 too! https://t.co/eoWnHPpj9n,"@808383 Hi there, thanks for bearing with us! We had a little hiccup earlier, but everything should be running just fine now /JS",app_crash_bug,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,"User reports Spotify is temporarily broken; general app/service issue, with agent indicating known hiccup"
g0047,"@SpotifyCares Windows 10, Google Chrome.",@139555 Thanks for the info. Can you try using an incognito/private window? Let us know if that helps /CE,device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,Windows 10 and Chrome are provided as troubleshooting environment details; no escalation risk
g0075,@SpotifyCares it is necessary to clear the cache,@155909 Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team /LO,offline_download,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,"Cache-clearing question/feedback relates to app troubleshooting; no account, billing, or security risk"
g0096,"@SpotifyCares Nope, doesn’t work 😔 I’m able to log on with my Facebook, but after that it just gives the same error.",@156297 Hmm. Could you send us your account's username or email address via DM? We'll take a look under the hood /LP https://t.co/ldFdZRiNAt,app_crash_bug,account_login,AUTO_HANDLE,AUTO_HANDLE,Facebook login succeeds but same account error persists; login/authentication troubleshooting
g0102,"@SpotifyCares Windows 10
Spotify 1.0.68.407",@226518 Thanks! Could you try logging out &gt; restarting your device &gt; logging back in to see if it helps? Keep us posted /AR,device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,Windows 10 and Spotify version are environment details for troubleshooting; device/platform context
g0123,@SpotifyCares spotify 8.4.28 ios 11.1,"@822220 Thanks. Is this happening over WiFi, 3G/4G, or both? If on WiFi, is it a private or public connection? /LO",device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,iOS/Spotify version information supplied for troubleshooting; device/platform context
g0163,"@SpotifyCares Here, saved you some work:

/^[(]{0,1}[0-9]{3}[)]{0,1}[-\s\.]{0,1}[0-9]{3}[-\s\.]{0,1}[0-9]{4}$/","[Prior Context]: @SpotifyCares You can solve this issue with a regex and one line of code, it's not that hard. What possible reason could there be for you to allow users to include full phone numbers in their accounts? What is the use case for that? | [Agent Reply]: @230869 We appreciate your concerns, here. Rest assured, the Community team are currently on the case. Once we have an update, it'll be shared in the link we sent you in our previous tweet. In the meantime, if you need anything else - just shout! /K",playlist_library,account_login,AUTO_HANDLE,ESCALATE,Context concerns users entering full phone numbers/account data; privacy/security concern requires human handling
g0174,@SpotifyCares Sonos Play:1,"@237285 Got it. Just to clarify, did you have the shuffle feature toggled on when the issue happened? /MT",device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,Sonos Play:1 device context for troubleshooting; no escalation risk
g0006,"@115888 Love you guys, but did you really have to undownload all my music randomly? And then immediately hit me with an ad asking me to renew for a year haha? Bad timing on your part.",@237679 Hey Eddie. Sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at https://t.co/EidIERWgLX. They should help with this /QI,playlist_library,offline_download,AUTO_HANDLE,AUTO_HANDLE,"Downloaded music was unexpectedly removed; matches downloads unexpectedly removed, with Premium complaint secondary"
g0007,"@SpotifyCares Thanks for response! The app says that music is playing, but no sound comes out. I have to restart to make it work again.",@135367 Gotcha. Can you try reinstalling the app using the steps here: https://t.co/PDA2aKzC6Q? Let us know how it plays out /LM,playback_error,playback_error,AUTO_HANDLE,AUTO_HANDLE,Music shows as playing but produces no sound and requires restart; playback issue
g0009,"@spotifycares why do this always appear ""Oops, seems the credit on your prepaid card is insufficient. Please try again or use another payment method."" Even if I have PhP 130 balance on my SIM, I'm using mobile payment. Please respond immediately, thanks!","@791704 Hi Marc! Don't worry, we'll sort this out. Could you send us a DM with your account's email address? We'll check under the hood /NJ https://t.co/ldFdZRiNAt",billing_charge,billing_charge,AUTO_HANDLE,ESCALATE,Payment method is being rejected despite available balance; account/payment-specific investigation is required
g0012,@SpotifyCares so I have a premium student account and Hulu is saying it's having trouble authorizing my Spotify account?,@242765 Hey Sarah! Can you DM us your account's email address or username along with a screenshot of the exact error message? We'll take a look backstage /KM https://t.co/ldFdZR1cbT,premium_subscription,premium_subscription,AUTO_HANDLE,ESCALATE,Premium Student account cannot authorize with Hulu; account-specific subscription/bundle issue requiring investigation
g0015,"@126761 But unfortunately it doesn't work for me. It says ""Sorry, couldn't find that"". Maybe it's not available worldwide. please could you fix it? I wanna listen to this interview","[Prior Context]: @243843 https://t.co/jUvxMm2s1a | [Agent Reply]: @243843 Hey there! There might be some restrictions based on your current location, but not your Spotify account’s country. No worries, your feedback matters, and we'll have this passed on to the right folks. Let us know if you have more questions 🙂 /MS",content_unavailable,content_unavailable,AUTO_HANDLE,AUTO_HANDLE,Specific interview cannot be found/available in the user's location; content availability issue
g0017,@SpotifyCares So i was updating my iPhone when you responded and I guess that’s what it was. It was 1 version behind. I am so sorry for wasting your time!!,@812999 No worries! Just give us a shout if the problem persists. We're... https://t.co/zOXI69QSqg /PB,device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,Issue was resolved by updating the iPhone; device/software version issue
g0018,"@117153 hi i have sign up under premium but cant download anything, it require me to re-do it again pls help to check :)",@258104 Hey there! Can you fire over your account's email address or username via DM? We'll see what we can suggest /RC https://t.co/ldFdZRiNAt,premium_subscription,offline_download,AUTO_HANDLE,ESCALATE,Premium account cannot download and repeatedly requests setup; account-specific Premium/download access issue requires investigation
g0019,"@117153 Hi there. I'm being charged for Premium Spotify, but my account is not showing anything so i can't cancel. I tried my other emails and they're not showing any Spotify associated with them. My account is __email__","@475400 Hey Fran! Help's here. For security reasons, we'd suggest deleting the tweet that contains your email address. Could you send us a DM instead? We'll be keeping an eye out for it /RA https://t.co/ldFdZRiNAt",billing_charge,billing_charge,ESCALATE,ESCALATE,Being charged for Premium but account cannot locate the subscription or cancel it; billing/account investigation required
g0020,@SpotifyCares I updated my payment method and it took the $4.99 out of my bank account but my premium still isn't working..,"@803982 Hey there, help's here! Could you DM us your account's username and email address? We'll check it out /DQ https://t.co/ldFdZRiNAt",billing_charge,billing_charge,AUTO_HANDLE,ESCALATE,Payment was successfully taken but Premium is still inactive; payment/subscription state requires account investigation
g0023,"@SpotifyCares Only 70% of my library was deleted this time so we're making progress, but it's still an issue. https://t.co/1ROB3b3f5E","@222234 Hey Anthony, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/EidIERWgLX. They should help with this /LO",playlist_library,offline_download,AUTO_HANDLE,AUTO_HANDLE,Large portion of downloaded library was deleted; matches downloads unexpectedly removed
g0026,"Hi, @115888 gentlemen it's been 2 weeks since the premiere of the #reputation and know, when will be put this magnificent art of music in its platform had understood that they were in denial with @118062 me as a premium user I have the right to know #Swifties","@417474 Hey Brandon! We’ll have it available to you as soon as it’s available to us. For now, check out the singles: https://t.co/3h0TnPWP0c /JC",premium_subscription,content_unavailable,AUTO_HANDLE,AUTO_HANDLE,Asking when a specific album/release will become available on Spotify; catalog availability question
g0027,@115888 @SpotifyCares Can we get an update on this Spotiamb 0.2.1 thing that keeps taking over streams? It is really irritating to have your music pausing several times an hour. It’s also a little concerning that you guys don’t seem to have any input on this.,"@807280 Hey, we’re sorry to hear that! Check out https://t.co/QHn3ok8y2n for what to do next /RB",playback_error,playback_error,AUTO_HANDLE,AUTO_HANDLE,Streams repeatedly pause due to an identified app issue; standard troubleshooting/known-issue response
g0029,@117153 I have just paid for the premium but still gives me the free subscription,[Prior Context]: We're investigating some payment issues and working hard to get things fixed. We'll provide updates here as we receive them. | [Agent Reply]: @795557 Hey Jelly! Can you DM us your account's email address? We'll check things out /KC https://t.co/ldFdZRiNAt,billing_charge,billing_charge,AUTO_HANDLE,ESCALATE,Premium was paid for but account still shows Free; payment/subscription mismatch requires investigation
g0030,"Over 10 ads in a row, really? @115888 that’s not the way to convince me to go premium.","@657844 Hey! Thanks for your feedback - we'll pass it on. For now, check out https://t.co/WB5TSxRfDe if you haven't had a subscription before /NJ",premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,Complaint about excessive ads and motivation to upgrade; general Free/Premium feedback
